date,open,high,low,close,volume,adjusted_close,currency
2020-01-01 00:00:00+05:30,432.9500122070313,436.4500122070313,431.25,434.2999877929688,2321850,408.7117614746094,INR
2020-01-02 00:00:00+05:30,434.0,442.6000061035156,432.0,434.9500122070313,4555670,409.3235168457031,INR
2020-01-03 00:00:00+05:30,434.6499938964844,450.3999938964844,433.0499877929688,444.6000061035156,9457180,418.4049072265625,INR
2020-01-06 00:00:00+05:30,440.8999938964844,444.7000122070313,435.1000061035156,439.9500122070313,4794923,414.0289001464844,INR
2020-01-07 00:00:00+05:30,441.3999938964844,448.0,437.5499877929688,446.3999938964844,4504083,420.0988464355469,INR
2020-01-08 00:00:00+05:30,442.9500122070313,446.5,439.0,440.1000061035156,3881918,414.1701049804688,INR
2020-01-09 00:00:00+05:30,442.7000122070313,444.8500061035156,439.0,439.8500061035156,3934566,413.934814453125,INR
2020-01-10 00:00:00+05:30,440.1000061035156,449.0,440.0,443.6000061035156,4334013,417.4638366699219,INR
2020-01-13 00:00:00+05:30,447.0,453.6499938964844,442.5499877929688,444.6000061035156,4823348,418.4049072265625,INR
2020-01-14 00:00:00+05:30,447.0,449.5,444.3999938964844,446.0,2708589,419.722412109375,INR
2020-01-15 00:00:00+05:30,447.6000061035156,450.7000122070313,443.6499938964844,449.0499877929688,3054107,422.59271240234375,INR
2020-01-16 00:00:00+05:30,452.25,456.3500061035156,447.3999938964844,449.0499877929688,4416809,422.59271240234375,INR
2020-01-17 00:00:00+05:30,448.2000122070313,456.25,446.0,454.6000061035156,3216737,427.8157348632813,INR
2020-01-20 00:00:00+05:30,454.2000122070313,456.2000122070313,446.1499938964844,449.4500122070313,2824739,422.96923828125,INR
2020-01-21 00:00:00+05:30,448.0,451.75,446.0,447.3999938964844,2573651,421.0399169921875,INR
2020-01-22 00:00:00+05:30,448.3999938964844,453.8500061035156,445.3500061035156,446.2999877929688,3412716,420.0047302246094,INR
2020-01-23 00:00:00+05:30,447.2000122070313,452.2000122070313,445.0,449.8500061035156,1875787,423.3456115722656,INR
2020-01-24 00:00:00+05:30,450.0,452.8500061035156,446.7999877929688,447.7999877929688,2153164,421.4163818359375,INR
2020-01-27 00:00:00+05:30,447.0,451.75,442.2000122070313,448.3999938964844,3530914,421.9810180664063,INR
2020-01-28 00:00:00+05:30,448.25,462.5,448.0499877929688,452.8999938964844,9487290,426.2159118652344,INR
2020-01-29 00:00:00+05:30,454.8500061035156,456.75,449.4500122070313,450.1000061035156,3103817,423.5809020996094,INR
