date,horizon,predicted_price,confidence_low,confidence_high,algorithm_used,currency,last_updated,model_accuracy,data_points_used
2025-10-19,1D,1662.85,1657.82,2494.27,ridge|lasso|elasticnet|random_forest|knn|svr,INR,2025-10-18T20:29:27.627591,0.9937,1187
2025-10-19,1D,1662.04,1578.94,1745.14,ridge,INR,2025-10-18T20:29:27.627666,0.9916,1187
2025-10-19,1D,1660.9,1577.85,1743.94,lasso,INR,2025-10-18T20:29:27.627727,0.9912,1187
2025-10-19,1D,1661.14,1578.08,1744.2,elasticnet,INR,2025-10-18T20:29:27.627779,0.9913,1187
2025-10-19,1D,1664.66,1581.43,1747.9,random_forest,INR,2025-10-18T20:29:27.627831,0.9983,1187
2025-10-19,1D,1659.1,1576.14,1742.05,knn,INR,2025-10-18T20:29:27.627882,1.0,1187
2025-10-19,1D,1666.82,1583.48,1750.16,svr,INR,2025-10-18T20:29:27.627933,0.9897,1187
2025-10-25,1W,1662.81,1657.88,2494.22,ridge|lasso|elasticnet|random_forest|knn|svr,INR,2025-10-18T20:30:14.039569,0.9937,1187
2025-10-25,1W,1662.03,1578.92,1745.13,ridge,INR,2025-10-18T20:30:14.039608,0.9916,1187
2025-10-25,1W,1660.9,1577.86,1743.95,lasso,INR,2025-10-18T20:30:14.039638,0.9912,1187
2025-10-25,1W,1661.14,1578.08,1744.2,elasticnet,INR,2025-10-18T20:30:14.039662,0.9913,1187
2025-10-25,1W,1664.6,1581.37,1747.83,random_forest,INR,2025-10-18T20:30:14.039685,0.9983,1187
2025-10-25,1W,1659.14,1576.18,1742.1,knn,INR,2025-10-18T20:30:14.039708,1.0,1187
2025-10-25,1W,1666.71,1583.38,1750.05,svr,INR,2025-10-18T20:30:14.039730,0.9897,1187
2025-11-17,1M,1663.27,1658.65,2494.91,ridge|lasso|elasticnet|random_forest|knn|svr,INR,2025-10-18T20:30:51.033160,0.9937,1187
2025-11-17,1M,1662.53,1579.41,1745.66,ridge,INR,2025-10-18T20:30:51.033254,0.9916,1187
2025-11-17,1M,1661.48,1578.41,1744.55,lasso,INR,2025-10-18T20:30:51.033333,0.9912,1187
2025-11-17,1M,1661.7,1578.62,1744.79,elasticnet,INR,2025-10-18T20:30:51.033403,0.9913,1187
2025-11-17,1M,1664.94,1581.69,1748.18,random_forest,INR,2025-10-18T20:30:51.033471,0.9983,1187
2025-11-17,1M,1659.83,1576.84,1742.82,knn,INR,2025-10-18T20:30:51.033536,1.0,1187
2025-11-17,1M,1666.92,1583.57,1750.27,svr,INR,2025-10-18T20:30:51.033601,0.9897,1187
2026-10-18,1Y,1736.02,1734.51,2604.03,ridge|lasso|elasticnet|random_forest|knn|svr,INR,2025-10-18T20:31:47.084251,0.9937,1187
2026-10-18,1Y,1735.78,1648.99,1822.57,ridge,INR,2025-10-18T20:31:47.084406,0.9916,1187
2026-10-18,1Y,1735.44,1648.67,1822.21,lasso,INR,2025-10-18T20:31:47.084519,0.9912,1187
2026-10-18,1Y,1735.51,1648.74,1822.29,elasticnet,INR,2025-10-18T20:31:47.084619,0.9913,1187
2026-10-18,1Y,1736.57,1649.74,1823.4,random_forest,INR,2025-10-18T20:31:47.084717,0.9983,1187
2026-10-18,1Y,1734.9,1648.15,1821.64,knn,INR,2025-10-18T20:31:47.084815,1.0,1187
2026-10-18,1Y,1737.22,1650.35,1824.08,svr,INR,2025-10-18T20:31:47.084911,0.9897,1187
2030-10-17,5Y,2039.22,2037.71,3058.82,ridge|lasso|elasticnet|random_forest|knn|svr,INR,2025-10-18T20:32:44.092486,0.9937,1187
2030-10-17,5Y,2038.98,1937.03,2140.92,ridge,INR,2025-10-18T20:32:44.092569,0.9916,1187
2030-10-17,5Y,2038.63,1936.7,2140.56,lasso,INR,2025-10-18T20:32:44.092634,0.9912,1187
2030-10-17,5Y,2038.7,1936.77,2140.64,elasticnet,INR,2025-10-18T20:32:44.092696,0.9913,1187
2030-10-17,5Y,2039.76,1937.77,2141.75,random_forest,INR,2025-10-18T20:32:44.092760,0.9983,1187
2030-10-17,5Y,2038.09,1936.19,2140.0,knn,INR,2025-10-18T20:32:44.092824,1.0,1187
2030-10-17,5Y,2040.41,1938.39,2142.43,svr,INR,2025-10-18T20:32:44.092885,0.9897,1187
