date,horizon,predicted_price,confidence_low,confidence_high,algorithm_used,currency,last_updated,model_accuracy,data_points_used
2025-10-19,1D,133.2,131.79,199.81,ridge|lasso|elasticnet|random_forest|knn|svr,USD,2025-10-18T20:17:12.025373,0.9812,969
2025-10-19,1D,133.89,127.19,140.58,ridge,USD,2025-10-18T20:17:12.025404,0.9729,969
2025-10-19,1D,133.71,127.03,140.4,lasso,USD,2025-10-18T20:17:12.025427,0.9727,969
2025-10-19,1D,133.65,126.97,140.33,elasticnet,USD,2025-10-18T20:17:12.025447,0.9727,969
2025-10-19,1D,132.72,126.08,139.36,random_forest,USD,2025-10-18T20:17:12.025466,0.9955,969
2025-10-19,1D,131.81,125.22,138.4,knn,USD,2025-10-18T20:17:12.025485,1.0,969
2025-10-19,1D,133.32,126.65,139.98,svr,USD,2025-10-18T20:17:12.025504,0.9735,969
2025-10-25,1W,133.17,131.79,199.76,ridge|lasso|elasticnet|random_forest|knn|svr,USD,2025-10-18T20:17:33.629938,0.9812,969
2025-10-25,1W,133.84,127.15,140.54,ridge,USD,2025-10-18T20:17:33.629968,0.9729,969
2025-10-25,1W,133.67,126.99,140.36,lasso,USD,2025-10-18T20:17:33.629990,0.9727,969
2025-10-25,1W,133.61,126.93,140.29,elasticnet,USD,2025-10-18T20:17:33.630009,0.9727,969
2025-10-25,1W,132.7,126.06,139.33,random_forest,USD,2025-10-18T20:17:33.630027,0.9955,969
2025-10-25,1W,131.81,125.22,138.4,knn,USD,2025-10-18T20:17:33.630046,1.0,969
2025-10-25,1W,133.28,126.62,139.95,svr,USD,2025-10-18T20:17:33.630063,0.9735,969
2025-11-17,1M,133.03,131.74,199.55,ridge|lasso|elasticnet|random_forest|knn|svr,USD,2025-10-18T20:17:55.380929,0.9812,969
2025-11-17,1M,133.66,126.98,140.34,ridge,USD,2025-10-18T20:17:55.380963,0.9729,969
2025-11-17,1M,133.5,126.83,140.18,lasso,USD,2025-10-18T20:17:55.380986,0.9727,969
2025-11-17,1M,133.44,126.77,140.11,elasticnet,USD,2025-10-18T20:17:55.381007,0.9727,969
2025-11-17,1M,132.59,125.96,139.22,random_forest,USD,2025-10-18T20:17:55.381027,0.9955,969
2025-11-17,1M,131.75,125.17,138.34,knn,USD,2025-10-18T20:17:55.381046,1.0,969
2025-11-17,1M,133.14,126.48,139.79,svr,USD,2025-10-18T20:17:55.381066,0.9735,969
2026-10-18,1Y,126.35,125.93,189.53,ridge|lasso|elasticnet|random_forest|knn|svr,USD,2025-10-18T20:18:17.142782,0.9812,969
2026-10-18,1Y,126.56,120.23,132.88,ridge,USD,2025-10-18T20:18:17.142875,0.9729,969
2026-10-18,1Y,126.5,120.18,132.83,lasso,USD,2025-10-18T20:18:17.142948,0.9727,969
2026-10-18,1Y,126.49,120.16,132.81,elasticnet,USD,2025-10-18T20:18:17.143014,0.9727,969
2026-10-18,1Y,126.21,119.9,132.52,random_forest,USD,2025-10-18T20:18:17.143079,0.9955,969
2026-10-18,1Y,125.93,119.64,132.23,knn,USD,2025-10-18T20:18:17.143142,1.0,969
2026-10-18,1Y,126.39,120.07,132.7,svr,USD,2025-10-18T20:18:17.143204,0.9735,969
2030-10-17,5Y,102.85,102.42,154.27,ridge|lasso|elasticnet|random_forest|knn|svr,USD,2025-10-18T20:18:38.805034,0.9812,969
2030-10-17,5Y,103.05,97.9,108.2,ridge,USD,2025-10-18T20:18:38.805064,0.9729,969
2030-10-17,5Y,103.0,97.85,108.15,lasso,USD,2025-10-18T20:18:38.805086,0.9727,969
2030-10-17,5Y,102.98,97.83,108.13,elasticnet,USD,2025-10-18T20:18:38.805104,0.9727,969
2030-10-17,5Y,102.7,97.57,107.84,random_forest,USD,2025-10-18T20:18:38.805122,0.9955,969
2030-10-17,5Y,102.43,97.31,107.55,knn,USD,2025-10-18T20:18:38.805141,1.0,969
2030-10-17,5Y,102.88,97.74,108.02,svr,USD,2025-10-18T20:18:38.805159,0.9735,969
