symbol,company_name,sector,market_cap,headquarters,exchange,currency
DGX,Quest Diagnostics,Healthcare,,"Secaucus, New Jersey",NYSE,USD
DHI,D. R. Horton,Consumer Discretionary,,"Arlington, Texas",NYSE,USD
DHR,Danaher,Healthcare,,"Washington, D.C.",NYSE,USD
DIS,Walt Disney Company (The),Communication Services,,"Burbank, California",NYSE,USD
DLR,Digital Realty,Real Estate,,"Austin, Texas",NYSE,USD
DLTR,Dollar Tree,Consumer Staples,,"Chesapeake, Virginia",NYSE,USD
DOC,Healthpeak Properties,Real Estate,,"Denver, Colorado",NYSE,USD
DOV,Dover,Industrial,,"Downers Grove, Illinois",NYSE,USD
DOW,Dow,Materials,,"Midland, Michigan",NYSE,USD
DPZ,Domino's,Consumer Discretionary,,"Ann Arbor, Michigan",NYSE,USD
DRI,Darden Restaurants,Consumer Discretionary,,"Orlando, Florida",NYSE,USD
DTE,DTE Energy,Utilities,,"Detroit, Michigan",NYSE,USD
DUK,Duke Energy,Utilities,,"Charlotte, North Carolina",NYSE,USD
DVA,DaVita,Healthcare,,"Denver, Colorado",NYSE,USD
DVN,Devon Energy,Energy,,"Oklahoma City, Oklahoma",NYSE,USD
DXCM,Dexcom,Healthcare,,"San Diego, California",NYSE,USD
EA,Electronic Arts,Communication Services,,"Redwood City, California",NYSE,USD
EBAY,eBay,Consumer Discretionary,,"San Jose, California",NYSE,USD
ECL,Ecolab,Materials,,"Saint Paul, Minnesota",NYSE,USD
ED,Consolidated Edison,Utilities,,"New York City, New York",NYSE,USD
EFX,Equifax,Industrial,,"Atlanta, Georgia",NYSE,USD
EG,Everest Group,Financial,,"Hamilton, Bermuda",NYSE,USD
EIX,Edison International,Utilities,,"Rosemead, California",NYSE,USD
EL,Estée Lauder Companies (The),Consumer Staples,,"New York City, New York",NYSE,USD
ELV,Elevance Health,Healthcare,,"Indianapolis, Indiana",NYSE,USD
EME,Emcor,Industrial,,"Norwalk, Connecticut",NYSE,USD
EMN,Eastman Chemical,Materials,,"Kingsport, Tennessee",NYSE,USD
EMR,Emerson Electric,Industrial,,"Ferguson, Missouri",NYSE,USD
EOG,EOG Resources,Energy,,"Houston, Texas",NYSE,USD
EPAM,EPAM Systems,Technology,,"Newtown, Pennsylvania",NYSE,USD
EQIX,Equinix,Real Estate,,"Redwood City, California",NYSE,USD
EQR,Equity Residential,Real Estate,,"Chicago, Illinois",NYSE,USD
EQT,EQT,Energy,,"Pittsburgh, Pennsylvania",NYSE,USD
ERIE,Erie Indemnity,Financial,,"Erie, Pennsylvania",NYSE,USD
ES,Eversource Energy,Utilities,,"Hartford, Connecticut",NYSE,USD
ESS,Essex Property Trust,Real Estate,,"San Mateo, California",NYSE,USD
ETN,Eaton,Industrial,,"Dublin, Ireland",NYSE,USD
ETR,Entergy,Utilities,,"New Orleans, Louisiana",NYSE,USD
EVRG,Evergy,Utilities,,"Kansas City, Missouri",NYSE,USD
EW,Edwards Lifesciences,Healthcare,,"Irvine, California",NYSE,USD
EXC,Exelon,Utilities,,"Chicago, Illinois",NYSE,USD
EXE,Expand Energy,Energy,,"Oklahoma City, Oklahoma",NYSE,USD
EXPD,Expeditors International,Industrial,,"Seattle, Washington",NYSE,USD
EXPE,Expedia Group,Consumer Discretionary,,"Seattle, Washington",NYSE,USD
EXR,Extra Space Storage,Real Estate,,"Salt Lake City, Utah",NYSE,USD
F,Ford Motor,Consumer Discretionary,,"Dearborn, Michigan",NYSE,USD
FANG,Diamondback Energy,Energy,,"Midland, Texas",NYSE,USD
FAST,Fastenal,Industrial,,"Winona, Minnesota",NYSE,USD
FCX,Freeport-McMoRan,Materials,,"Phoenix, Arizona",NYSE,USD
FDS,FactSet,Financial,,"Norwalk, Connecticut",NYSE,USD
FDX,FedEx,Industrial,,"Memphis, Tennessee",NYSE,USD
FE,FirstEnergy,Utilities,,"Akron, Ohio",NYSE,USD
FFIV,"F5,",Technology,,"Seattle, Washington",NYSE,USD
FI,Fiserv,Financial,,"Brookfield, Wisconsin",NYSE,USD
FICO,Fair Isaac,Technology,,"Bozeman, Montana",NYSE,USD
FIS,Fidelity National Information Services,Financial,,"Jacksonville, Florida",NYSE,USD
FITB,Fifth Third Bancorp,Financial,,"Cincinnati, Ohio",NYSE,USD
FOX,Fox Corporation (Class B),Communication Services,,"New York City, New York",NYSE,USD
FOXA,Fox Corporation (Class A),Communication Services,,"New York City, New York",NYSE,USD
FRT,Federal Realty Investment Trust,Real Estate,,"Rockville, Maryland",NYSE,USD
FSLR,First Solar,Technology,,"Tempe, Arizona",NYSE,USD
FTNT,Fortinet,Technology,,"Sunnyvale, California",NYSE,USD
FTV,Fortive,Industrial,,"Everett, Washington",NYSE,USD
GD,General Dynamics,Industrial,,"Falls Church, Virginia",NYSE,USD
GDDY,GoDaddy,Technology,,"Tempe, Arizona",NYSE,USD
GE,GE Aerospace,Industrial,,"Evendale, Ohio",NYSE,USD
GEHC,GE HealthCare,Healthcare,,"Chicago, Illinois",NYSE,USD
GEN,Gen Digital,Technology,,"Tempe, Arizona",NYSE,USD
GEV,GE Vernova,Industrial,,"Cambridge, Massachusetts",NYSE,USD
GILD,Gilead Sciences,Healthcare,,"Foster City, California",NYSE,USD
GIS,General Mills,Consumer Staples,,"Golden Valley, Minnesota",NYSE,USD
GL,Globe Life,Financial,,"McKinney, Texas",NYSE,USD
GLW,Corning,Technology,,"Corning, New York",NYSE,USD
GM,General Motors,Consumer Discretionary,,"Detroit, Michigan",NYSE,USD
GNRC,Generac,Industrial,,"Waukesha, Wisconsin",NYSE,USD
GOOG,Alphabet Inc. (Class C),Communication Services,,"Mountain View, California",NYSE,USD
GOOGL,Alphabet Inc. (Class A),Communication Services,,"Mountain View, California",NASDAQ,USD
GPC,Genuine Parts,Consumer Discretionary,,"Atlanta, Georgia",NYSE,USD
GPN,Global Payments,Financial,,"Atlanta, Georgia",NYSE,USD
GRMN,Garmin,Consumer Discretionary,,"Schaffhausen, Switzerland",NYSE,USD
GS,Goldman Sachs,Financial,,"New York City, New York",NYSE,USD
GWW,W. W. Grainger,Industrial,,"Lake Forest, Illinois",NYSE,USD
HAL,Halliburton,Energy,,"Houston, Texas",NYSE,USD
HAS,Hasbro,Consumer Discretionary,,"Pawtucket, Rhode Island",NYSE,USD
HBAN,Huntington Bancshares,Financial,,"Columbus, Ohio; Detroit, Michigan",NYSE,USD
HCA,HCA Healthcare,Healthcare,,"Nashville, Tennessee",NYSE,USD
HD,Home Depot (The),Consumer Discretionary,,"Atlanta, Georgia",NYSE,USD
HIG,Hartford (The),Financial,,"Hartford, Connecticut",NYSE,USD
HII,Huntington Ingalls Industries,Industrial,,"Newport News, Virginia",NYSE,USD
HLT,Hilton Worldwide,Consumer Discretionary,,"Tysons Corner, Virginia",NYSE,USD
HOLX,Hologic,Healthcare,,"Marlborough, Massachusetts",NYSE,USD
HON,Honeywell,Industrial,,"Charlotte, North Carolina",NYSE,USD
HOOD,Robinhood Markets,Financial,,"Menlo Park, California",NYSE,USD
HPE,Hewlett Packard Enterprise,Technology,,"Houston, Texas",NYSE,USD
HPQ,HP,Technology,,"Palo Alto, California",NYSE,USD
HRL,Hormel Foods,Consumer Staples,,"Austin, Minnesota",NYSE,USD
HSIC,Henry Schein,Healthcare,,"Melville, New York",NYSE,USD
HST,Host Hotels & Resorts,Real Estate,,"Bethesda, Maryland",NYSE,USD
HSY,Hershey Company (The),Consumer Staples,,"Hershey, Pennsylvania",NYSE,USD
HUBB,Hubbell Incorporated,Industrial,,"Shelton, Connecticut",NYSE,USD
HUM,Humana,Healthcare,,"Louisville, Kentucky",NYSE,USD
HWM,Howmet Aerospace,Industrial,,"Pittsburgh, Pennsylvania",NYSE,USD
IBKR,Interactive Brokers,Financial,,"Greenwich, Connecticut",NYSE,USD
IBM,IBM,Technology,,"Armonk, New York",NYSE,USD
ICE,Intercontinental Exchange,Financial,,"Atlanta, Georgia",NYSE,USD
IDXX,Idexx Laboratories,Healthcare,,"Westbrook, Maine",NYSE,USD
IEX,IDEX,Industrial,,"Northbrook, Illinois",NYSE,USD
IFF,International Flavors & Fragrances,Materials,,"New York City, New York",NYSE,USD
INCY,Incyte,Healthcare,,"Wilmington, Delaware",NYSE,USD
INTC,Intel,Technology,,"Santa Clara, California",NYSE,USD
INTU,Intuit,Technology,,"Mountain View, California",NYSE,USD
INVH,Invitation Homes,Real Estate,,"Dallas, Texas",NYSE,USD
IP,International Paper,Materials,,"Memphis, Tennessee",NYSE,USD
IPG,Interpublic Group of Companies (The),Communication Services,,"New York City, New York",NYSE,USD
IQV,IQVIA,Healthcare,,"Durham, North Carolina",NYSE,USD
