symbol,company_name,sector,market_cap,headquarters,exchange,currency
PM,Philip Morris International,Consumer Staples,,"New York City, New York",NYSE,USD
PNC,PNC Financial Services,Financial,,"Pittsburgh, Pennsylvania",NYSE,USD
PNR,Pentair,Industrial,,"Worsley, United Kingdom",NYSE,USD
PNW,Pinnacle West Capital,Utilities,,"Phoenix, Arizona",NYSE,USD
PODD,Insulet,Healthcare,,"Acton, Massachusetts",NYSE,USD
POOL,Pool,Consumer Discretionary,,"Covington, Louisiana",NYSE,USD
PPG,PPG Industries,Materials,,"Pittsburgh, Pennsylvania",NYSE,USD
PPL,PPL,Utilities,,"Allentown, Pennsylvania",NYSE,USD
PRU,Prudential Financial,Financial,,"Newark, New Jersey",NYSE,USD
PSA,Public Storage,Real Estate,,"Glendale, California",NYSE,USD
PSKY,Paramount Skydance,Communication Services,,"Los Angeles, California",NYSE,USD
PSX,Phillips 66,Energy,,"Houston, Texas",NYSE,USD
PTC,PTC,Technology,,"Boston, Massachusetts",NYSE,USD
PWR,Quanta Services,Industrial,,"Houston, Texas",NYSE,USD
PYPL,PayPal,Financial,,"San Jose, California",NYSE,USD
QCOM,Qualcomm,Technology,,"San Diego, California",NYSE,USD
RCL,Royal Caribbean Group,Consumer Discretionary,,"Miami, Florida",NYSE,USD
REG,Regency Centers,Real Estate,,"Jacksonville, Florida",NYSE,USD
REGN,Regeneron Pharmaceuticals,Healthcare,,"Tarrytown, New York",NYSE,USD
RF,Regions Financial,Financial,,"Birmingham, Alabama",NYSE,USD
RJF,Raymond James Financial,Financial,,"St. Petersburg, Florida",NYSE,USD
RL,Ralph Lauren,Consumer Discretionary,,"New York City, New York",NYSE,USD
RMD,ResMed,Healthcare,,"San Diego, California",NYSE,USD
ROK,Rockwell Automation,Industrial,,"Milwaukee, Wisconsin",NYSE,USD
ROL,"Rollins,",Industrial,,"Atlanta, Georgia",NYSE,USD
ROP,Roper Technologies,Technology,,"Sarasota, Florida",NYSE,USD
ROST,Ross Stores,Consumer Discretionary,,"Dublin, California",NYSE,USD
RSG,Republic Services,Industrial,,"Phoenix, Arizona",NYSE,USD
RTX,RTX,Industrial,,"Waltham, Massachusetts",NYSE,USD
RVTY,Revvity,Healthcare,,"Waltham, Massachusetts",NYSE,USD
SBAC,SBA Communications,Real Estate,,"Boca Raton, Florida",NYSE,USD
SBUX,Starbucks,Consumer Discretionary,,"Seattle, Washington",NYSE,USD
SCHW,Charles Schwab,Financial,,"Westlake, Texas",NYSE,USD
SHW,Sherwin-Williams,Materials,,"Cleveland, Ohio",NYSE,USD
SJM,J.M. Smucker Company (The),Consumer Staples,,"Orrville, Ohio",NYSE,USD
SLB,Schlumberger,Energy,,"Houston, Texas",NYSE,USD
SMCI,Supermicro,Technology,,"San Jose, California",NYSE,USD
SNA,Snap-on,Industrial,,"Kenosha, Wisconsin",NYSE,USD
SNPS,Synopsys,Technology,,"Sunnyvale, California",NYSE,USD
SO,Southern,Utilities,,"Atlanta, Georgia",NYSE,USD
SOLV,Solventum,Healthcare,,"Saint Paul, Minnesota",NYSE,USD
SPG,Simon Property Group,Real Estate,,"Indianapolis, Indiana",NYSE,USD
SPGI,S&P Global,Financial,,"New York City, New York",NYSE,USD
SRE,Sempra,Utilities,,"San Diego, California",NYSE,USD
STE,Steris,Healthcare,,"Dublin, Ireland",NYSE,USD
STLD,Steel Dynamics,Materials,,"Fort Wayne, Indiana",NYSE,USD
STT,State Street,Financial,,"Boston, Massachusetts",NYSE,USD
STX,Seagate Technology,Technology,,"Dublin, Ireland",NYSE,USD
STZ,Constellation Brands,Consumer Staples,,"Rochester, New York",NYSE,USD
SW,Smurfit Westrock,Materials,,"Dublin, Ireland",NYSE,USD
SWK,Stanley Black & Decker,Industrial,,"New Britain, Connecticut",NYSE,USD
SWKS,Skyworks Solutions,Technology,,"Irvine, California",NYSE,USD
SYF,Synchrony Financial,Financial,,"Stamford, Connecticut",NYSE,USD
SYK,Stryker,Healthcare,,"Kalamazoo, Michigan",NYSE,USD
SYY,Sysco,Consumer Staples,,"Houston, Texas",NYSE,USD
T,AT&T,Communication Services,,"Dallas, Texas",NYSE,USD
TAP,Molson Coors Beverage,Consumer Staples,,"Chicago, Illinois",NYSE,USD
TDG,TransDigm Group,Industrial,,"Cleveland, Ohio",NYSE,USD
TDY,Teledyne Technologies,Technology,,"Thousand Oaks, California",NYSE,USD
TECH,Bio-Techne,Healthcare,,"Minneapolis, Minnesota",NYSE,USD
TEL,TE Connectivity,Technology,,"Galway, Ireland",NYSE,USD
TER,Teradyne,Technology,,"North Reading, Massachusetts",NYSE,USD
TEST123,Test Company Inc,Technology,Small Cap,"Test City, California",NYSE,USD
TFC,Truist Financial,Financial,,"Charlotte, North Carolina",NYSE,USD
TGT,Target,Consumer Staples,,"Minneapolis, Minnesota",NYSE,USD
TJX,TJX Companies,Consumer Discretionary,,"Framingham, Massachusetts",NYSE,USD
TKO,TKO Group Holdings,Communication Services,,"New York City, New York",NYSE,USD
TMO,Thermo Fisher Scientific,Healthcare,,"Waltham, Massachusetts",NYSE,USD
TMUS,T-Mobile US,Communication Services,,"Bellevue, Washington",NYSE,USD
TPL,Texas Pacific Land,Energy,,"Dallas, Texas",NYSE,USD
TPR,"Tapestry,",Consumer Discretionary,,"New York City, New York",NYSE,USD
TRGP,Targa Resources,Energy,,"Houston, Texas",NYSE,USD
TRMB,Trimble,Technology,,"Westminster, Colorado",NYSE,USD
TROW,T. Rowe Price,Financial,,"Baltimore, Maryland",NYSE,USD
TRV,Travelers Companies (The),Financial,,"New York City, New York",NYSE,USD
TSCO,Tractor Supply,Consumer Discretionary,,"Brentwood, Tennessee",NYSE,USD
TSLA,"Tesla,",Consumer Discretionary,,"Austin, Texas",NASDAQ,USD
TSN,Tyson Foods,Consumer Staples,,"Springdale, Arkansas",NYSE,USD
TT,Trane Technologies,Industrial,,"Dublin, Ireland",NYSE,USD
TTD,Trade Desk (The),Communication Services,,"Ventura, California",NYSE,USD
TTWO,Take-Two Interactive,Communication Services,,"New York City, New York",NYSE,USD
TXN,Texas Instruments,Technology,,"Dallas, Texas",NYSE,USD
TXT,Textron,Industrial,,"Providence, Rhode Island",NYSE,USD
TYL,Tyler Technologies,Technology,,"Plano, Texas",NYSE,USD
UAL,United Airlines Holdings,Industrial,,"Chicago, Illinois",NYSE,USD
UBER,Uber,Industrial,,"San Francisco, California",NYSE,USD
UDR,"UDR,",Real Estate,,"Highlands Ranch, Colorado",NYSE,USD
UHS,Universal Health Services,Healthcare,,"King of Prussia, Pennsylvania",NYSE,USD
ULTA,Ulta Beauty,Consumer Discretionary,,"Bolingbrook, Illinois",NYSE,USD
UNH,UnitedHealth Group,Healthcare,,"Eden Prairie, Minnesota",NYSE,USD
UNP,Union Pacific,Industrial,,"Omaha, Nebraska",NYSE,USD
UPS,United Parcel Service,Industrial,,"Sandy Springs, Georgia",NYSE,USD
URI,United Rentals,Industrial,,"Stamford, Connecticut",NYSE,USD
USB,U.S. Bancorp,Financial,,"Minneapolis, Minnesota",NYSE,USD
V,Visa,Financial,,"San Francisco, California",NYSE,USD
VICI,Vici Properties,Real Estate,,"New York City, New York",NYSE,USD
VLO,Valero Energy,Energy,,"San Antonio, Texas",NYSE,USD
VLTO,Veralto,Industrial,,"Waltham, Massachusetts",NYSE,USD
VMC,Vulcan Materials,Materials,,"Birmingham, Alabama",NYSE,USD
VRSK,Verisk Analytics,Industrial,,"Jersey City, New Jersey",NYSE,USD
VRSN,Verisign,Technology,,"Reston, Virginia",NYSE,USD
VRTX,Vertex Pharmaceuticals,Healthcare,,"Boston, Massachusetts",NYSE,USD
VST,Vistra,Utilities,,"Irving, Texas",NYSE,USD
VTR,Ventas,Real Estate,,"Chicago, Illinois",NYSE,USD
VTRS,Viatris,Healthcare,,"Pittsburgh, Pennsylvania",NYSE,USD
VZ,Verizon,Communication Services,,"New York City, New York",NYSE,USD
WAB,Wabtec,Industrial,,"Pittsburgh, Pennsylvania",NYSE,USD
WAT,Waters,Healthcare,,"Milford, Massachusetts",NYSE,USD
WBD,Warner Bros. Discovery,Communication Services,,"New York City, New York",NYSE,USD
WDAY,"Workday,",Technology,,"Pleasanton, California",NYSE,USD
WDC,Western Digital,Technology,,"San Jose, California",NYSE,USD
WEC,WEC Energy Group,Utilities,,"Milwaukee, Wisconsin",NYSE,USD
WELL,Welltower,Real Estate,,"Toledo, Ohio",NYSE,USD
WFC,Wells Fargo,Financial,,"San Francisco, California",NYSE,USD
WM,Waste Management,Industrial,,"Houston, Texas",NYSE,USD
WMB,Williams Companies,Energy,,"Tulsa, Oklahoma",NYSE,USD
WMT,Walmart,Consumer Staples,,"Bentonville, Arkansas",NYSE,USD
WRB,W. R. Berkley,Financial,,"Greenwich, Connecticut",NYSE,USD
WSM,"Williams-Sonoma,",Consumer Discretionary,,"San Francisco, California",NYSE,USD
WST,West Pharmaceutical Services,Healthcare,,"Exton, Pennsylvania",NYSE,USD
WTW,Willis Towers Watson,Financial,,"London, United Kingdom",NYSE,USD
WY,Weyerhaeuser,Real Estate,,"Seattle, Washington",NYSE,USD
WYNN,Wynn Resorts,Consumer Discretionary,,"Paradise, Nevada",NYSE,USD
XEL,Xcel Energy,Utilities,,"Minneapolis, Minnesota",NYSE,USD
XOM,ExxonMobil,Energy,,"Irving, Texas",NYSE,USD
XYL,Xylem,Industrial,,"White Plains, New York",NYSE,USD
XYZ,"Block,",Financial,,none,NYSE,USD
YUM,Yum! Brands,Consumer Discretionary,,"Louisville, Kentucky",NYSE,USD
ZBH,Zimmer Biomet,Healthcare,,"Warsaw, Indiana",NYSE,USD
ZBRA,Zebra Technologies,Technology,,"Lincolnshire, Illinois",NYSE,USD
ZTS,Zoetis,Healthcare,,"Parsippany, New Jersey",NYSE,USD
