symbol,company_name,sector,market_cap,headquarters,exchange,currency,isin
CAMPUS,Campus Activewear,Consumer Durables,,India,NSE,INR,INE278Y01022
CAMS,Computer Age Management Services,Financial Services,,India,NSE,INR,INE596I01012
CANBK,Canara Bank,Financial Services,,India,NSE,INR,INE476A01022
CANFINHOME,Can Fin Homes,Financial Services,,India,NSE,INR,INE477A01020
CAPLIPOINT,Caplin Point Laboratories,Healthcare,,India,NSE,INR,INE475E01026
CARBORUNIV,Carborundum Universal,Capital Goods,,India,NSE,INR,INE120A01034
CASTROLIND,Castrol India,Oil Gas & Consumable Fuels,,India,NSE,INR,INE172A01027
CCL,CCL Products (I),Fast Moving Consumer Goods,,India,NSE,INR,INE421D01022
CDSL,Central Depository Services (India),Financial Services,,India,NSE,INR,INE736A01011
CEATLTD,Ceat,Automobile and Auto Components,,India,NSE,INR,INE482A01020
CENTRALBK,Central Bank of India,Financial Services,,India,NSE,INR,INE483A01010
CENTURYPLY,Century Plyboards (India),Consumer Durables,,India,NSE,INR,INE348B01021
CERA,Cera Sanitaryware,Consumer Durables,,India,NSE,INR,INE739E01017
CESC,CESC,Power,,India,NSE,INR,INE486A01021
CGCL,Capri Global Capital,Financial Services,,India,NSE,INR,INE180C01042
CGPOWER,CG Power and Industrial Solutions,Capital Goods,,India,NSE,INR,INE067A01029
CHALET,Chalet Hotels,Consumer Services,,India,NSE,INR,INE427F01016
CHAMBLFERT,Chambal Fertilizers & Chemicals,Chemicals,,India,NSE,INR,INE085A01013
CHENNPETRO,Chennai Petroleum Corporation,Oil Gas & Consumable Fuels,,India,NSE,INR,INE178A01016
CHOICEIN,Choice International,Financial Services,,India,NSE,INR,INE102B01014
CHOLAFIN,Cholamandalam Investment and Finance Company,Financial Services,,India,NSE,INR,INE121A08PJ0
CHOLAHLDNG,Cholamandalam Financial Holdings,Financial Services,,India,NSE,INR,INE149A01033
CIPLA,Cipla,Healthcare,,India,NSE,INR,INE059A01026
CLEAN,Clean Science and Technology,Chemicals,,India,NSE,INR,INE227W01023
COALINDIA,Coal India,Oil Gas & Consumable Fuels,,India,NSE,INR,INE522F01014
COCHINSHIP,Cochin Shipyard,Capital Goods,,India,NSE,INR,INE704P01025
COFORGE,Coforge,Information Technology,,India,NSE,INR,INE591G01025
COHANCE,Cohance Lifesciences,Healthcare,,India,NSE,INR,INE03QK01018
COLPAL,Colgate Palmolive (India),Fast Moving Consumer Goods,,India,NSE,INR,INE102A01018
CONCOR,Container Corporation of India,Services,,India,NSE,INR,INE111A01025
CONCORDBIO,Concord Biotech,Healthcare,,India,NSE,INR,INE338H01029
COROMANDEL,Coromandel International,Chemicals,,India,NSE,INR,INE169A01031
CRAFTSMAN,Craftsman Automation,Automobile and Auto Components,,India,NSE,INR,INE00LO01017
CREDITACC,CreditAccess Grameen,Financial Services,,India,NSE,INR,INE741K01010
CRISIL,CRISIL,Financial Services,,India,NSE,INR,INE007A01025
CROMPTON,Crompton Greaves Consumer Electricals,Consumer Durables,,India,NSE,INR,INE299U01018
CUB,City Union Bank,Financial Services,,India,NSE,INR,INE491A01021
CUMMINSIND,Cummins India,Capital Goods,,India,NSE,INR,INE298A01020
CYIENT,Cyient,Information Technology,,India,NSE,INR,INE136B01020
DABUR,Dabur India,Fast Moving Consumer Goods,,India,NSE,INR,INE016A01026
DALBHARAT,Dalmia Bharat,Construction Materials,,India,NSE,INR,INE00R701025
DATAPATTNS,Data Patterns (India),Capital Goods,,India,NSE,INR,INE0IX101010
DBREALTY,Valor Estate,Consumer Services,,India,NSE,INR,INE879I01012
DCMSHRIRAM,DCM Shriram,Diversified,,India,NSE,INR,INE499A01024
DEEPAKFERT,Deepak Fertilisers & Petrochemicals Corp.,Chemicals,,India,NSE,INR,INE501A01019
DEEPAKNTR,Deepak Nitrite,Chemicals,,India,NSE,INR,INE288B01029
DELHIVERY,Delhivery,Services,,India,NSE,INR,INE148O01028
DEVYANI,Devyani International,Consumer Services,,India,NSE,INR,INE872J01023
DIVISLAB,Divi's Laboratories,Healthcare,,India,NSE,INR,INE361B01024
DIXON,Dixon Technologies (India),Consumer Durables,,India,NSE,INR,INE935N01020
DLF,DLF,Realty,,India,NSE,INR,INE271C01023
DMART,Avenue Supermarts,Consumer Services,,India,NSE,INR,INE192R01011
DOMS,DOMS Industries,Fast Moving Consumer Goods,,India,NSE,INR,INE321T01012
DRREDDY,Dr. Reddy's Laboratories,Healthcare,,India,NSE,INR,INE089A01023
ECLERX,eClerx Services,Services,,India,NSE,INR,INE738I01010
EICHERMOT,Eicher Motors,Automobile and Auto Components,,India,NSE,INR,INE066A01013
EIDPARRY,E.I.D. Parry (India),Fast Moving Consumer Goods,,India,NSE,INR,INE126A01031
EIHOTEL,EIH,Consumer Services,,India,NSE,INR,INE230A01023
ELECON,Elecon Engineering Co.,Capital Goods,,India,NSE,INR,INE205B01031
ELGIEQUIP,Elgi Equipments,Capital Goods,,India,NSE,INR,INE285A01027
EMAMILTD,Emami,Fast Moving Consumer Goods,,India,NSE,INR,INE548C01032
EMCURE,Emcure Pharmaceuticals,Healthcare,,India,NSE,INR,INE168P01015
ENDURANCE,Endurance Technologies,Automobile and Auto Components,,India,NSE,INR,INE913H01037
ENGINERSIN,Engineers India,Construction,,India,NSE,INR,INE510A01028
ENRIN,Siemens Energy India,Capital Goods,,India,NSE,INR,INE1NPP01017
ERIS,Eris Lifesciences,Healthcare,,India,NSE,INR,INE406M01024
ESCORTS,Escorts Kubota,Capital Goods,,India,NSE,INR,INE042A01014
ETERNAL,Eternal,Consumer Services,,India,NSE,INR,INE758T01015
EXIDEIND,Exide Industries,Automobile and Auto Components,,India,NSE,INR,INE302A01020
FACT,Fertilisers and Chemicals Travancore,Chemicals,,India,NSE,INR,INE188A01015
FEDERALBNK,Federal Bank,Financial Services,,India,NSE,INR,INE171A01029
FINCABLES,Finolex Cables,Capital Goods,,India,NSE,INR,INE235A01022
FINPIPE,Finolex Industries,Capital Goods,,India,NSE,INR,INE183A01024
FIRSTCRY,Brainbees Solutions,Consumer Services,,India,NSE,INR,INE02RE01045
FIVESTAR,Five-Star Business Finance,Financial Services,,India,NSE,INR,INE128S01021
FLUOROCHEM,Gujarat Fluorochemicals,Chemicals,,India,NSE,INR,INE09N301011
FORCEMOT,Force Motors,Automobile and Auto Components,,India,NSE,INR,INE451A01017
FORTIS,Fortis Healthcare,Healthcare,,India,NSE,INR,INE061F01013
FSL,Firstsource Solutions,Services,,India,NSE,INR,INE684F01012
GAIL,GAIL (India),Oil Gas & Consumable Fuels,,India,NSE,INR,INE129A01019
GESHIP,Great Eastern Shipping Co.,Services,,India,NSE,INR,INE017A01032
GICRE,General Insurance Corporation of India,Financial Services,,India,NSE,INR,INE481Y01014
GILLETTE,Gillette India,Fast Moving Consumer Goods,,India,NSE,INR,INE322A01010
GLAND,Gland Pharma,Healthcare,,India,NSE,INR,INE068V01023
GLAXO,Glaxosmithkline Pharmaceuticals,Healthcare,,India,NSE,INR,INE159A01016
GLENMARK,Glenmark Pharmaceuticals,Healthcare,,India,NSE,INR,INE935A01035
GMDCLTD,Gujarat Mineral Development Corporation,Metals & Mining,,India,NSE,INR,INE131A01031
GMRAIRPORT,GMR Airports,Services,,India,NSE,INR,INE776C01039
GODFRYPHLP,Godfrey Phillips India,Fast Moving Consumer Goods,,India,NSE,INR,INE260B01028
GODIGIT,Go Digit General Insurance,Financial Services,,India,NSE,INR,INE03JT01014
GODREJAGRO,Godrej Agrovet,Fast Moving Consumer Goods,,India,NSE,INR,INE850D01014
GODREJCP,Godrej Consumer Products,Fast Moving Consumer Goods,,India,NSE,INR,INE102A01018
GODREJIND,Godrej Industries,Diversified,,India,NSE,INR,INE233A01035
GODREJPROP,Godrej Properties,Realty,,India,NSE,INR,INE484J01027
GPIL,Godawari Power & Ispat,Capital Goods,,India,NSE,INR,INE177H01039
GRANULES,Granules India,Healthcare,,India,NSE,INR,INE101D01020
GRAPHITE,Graphite India,Capital Goods,,India,NSE,INR,INE371A01025
GRASIM,Grasim Industries,Construction Materials,,India,NSE,INR,INE047A01013
GRAVITA,Gravita India,Metals & Mining,,India,NSE,INR,INE024L01027
GRSE,Garden Reach Shipbuilders & Engineers,Capital Goods,,India,NSE,INR,INE382Z01011
GSPL,Gujarat State Petronet,Oil Gas & Consumable Fuels,,India,NSE,INR,INE246F01010
GUJGASLTD,Gujarat Gas,Oil Gas & Consumable Fuels,,India,NSE,INR,INE844O01030
GVT&D,GE Vernova T&D India,Capital Goods,,India,NSE,INR,INE200A01026
HAL,Hindustan Aeronautics,Capital Goods,,India,NSE,INR,INE066F01020
HAPPSTMNDS,Happiest Minds Technologies,Information Technology,,India,NSE,INR,INE419U01012
HAVELLS,Havells India,Consumer Durables,,India,NSE,INR,INE176B01034
HBLENGINE,HBL Engineering,Capital Goods,,India,NSE,INR,INE292B01021
HCLTECH,HCL Technologies,Information Technology,,India,NSE,INR,INE860A01027
HDFCAMC,HDFC Asset Management Company,Financial Services,,India,NSE,INR,INE127D01025
HDFCBANK,HDFC Bank,Financial Services,,India,NSE,INR,INE040A01034
HDFCLIFE,HDFC Life Insurance Company,Financial Services,,India,NSE,INR,INE795G01014
HEG,H.E.G.,Capital Goods,,India,NSE,INR,INE545A01024
HEROMOTOCO,Hero MotoCorp,Automobile and Auto Components,,India,NSE,INR,INE158A01026
HEXT,Hexaware Technologies,Information Technology,,India,NSE,INR,INE093A01041
HFCL,HFCL,Telecommunication,,India,NSE,INR,INE548A01028
HINDALCO,Hindalco Industries,Metals & Mining,,India,NSE,INR,INE038A01020
HINDCOPPER,Hindustan Copper,Metals & Mining,,India,NSE,INR,INE531E01026
HINDPETRO,Hindustan Petroleum Corporation,Oil Gas & Consumable Fuels,,India,NSE,INR,INE094A01015
HINDUNILVR,Hindustan Unilever,Fast Moving Consumer Goods,,India,NSE,INR,INE216A01027
HINDZINC,Hindustan Zinc,Metals & Mining,,India,NSE,INR,INE267A01025
HOMEFIRST,Home First Finance Company India,Financial Services,,India,NSE,INR,INE481N01025
HONASA,Honasa Consumer,Fast Moving Consumer Goods,,India,NSE,INR,INE0J5401028
HONAUT,Honeywell Automation India,Capital Goods,,India,NSE,INR,INE671A01010
HSCL,Himadri Speciality Chemical,Chemicals,,India,NSE,INR,INE019C01026
HUDCO,Housing & Urban Development Corporation,Financial Services,,India,NSE,INR,INE031A01017
HYUNDAI,Hyundai Motor India,Automobile and Auto Components,,India,NSE,INR,INE0V6F01027
ICICIBANK,ICICI Bank,Financial Services,,India,NSE,INR,INE090A01021
ICICIGI,ICICI Lombard General Insurance Company,Financial Services,,India,NSE,INR,INE765G01017
ICICIPRULI,ICICI Prudential Life Insurance Company,Financial Services,,India,NSE,INR,INE726G01019
IDBI,IDBI Bank,Financial Services,,India,NSE,INR,INE008A01015
IDEA,Vodafone Idea,Telecommunication,,India,NSE,INR,INE669E01016
IDFCFIRSTB,IDFC First Bank,Financial Services,,India,NSE,INR,INE092T01019
IEX,Indian Energy Exchange,Financial Services,,India,NSE,INR,INE022Q01020
IFCI,IFCI,Financial Services,,India,NSE,INR,INE039A01010
IGIL,International Gemmological Institute (India),Services,,India,NSE,INR,INE0Q9301021
IGL,Indraprastha Gas,Oil Gas & Consumable Fuels,,India,NSE,INR,INE203G01027
IIFL,IIFL Finance,Financial Services,,India,NSE,INR,INE530B01024
IKS,Inventurus Knowledge Solutions,Information Technology,,India,NSE,INR,INE115Q01022
INDGN,Indegene,Healthcare,,India,NSE,INR,INE065X01017
INDHOTEL,Indian Hotels Co.,Consumer Services,,India,NSE,INR,INE053A01029
INDIACEM,India Cements,Construction Materials,,India,NSE,INR,INE383A01012
INDIAMART,Indiamart Intermesh,Consumer Services,,India,NSE,INR,INE933S01016
INDIANB,Indian Bank,Financial Services,,India,NSE,INR,INE562A01011
INDIGO,InterGlobe Aviation,Services,,India,NSE,INR,INE646L01027
INDUSINDBK,IndusInd Bank,Financial Services,,India,NSE,INR,INE095A01012
INDUSTOWER,Indus Towers,Telecommunication,,India,NSE,INR,INE121J01017
INFY,Infosys,Information Technology,,India,NSE,INR,INE009A01021
INOXINDIA,INOX India,Capital Goods,,India,NSE,INR,INE616N01034
INOXWIND,Inox Wind,Capital Goods,,India,NSE,INR,INE066P01011
INTELLECT,Intellect Design Arena,Information Technology,,India,NSE,INR,INE306R01017
IOB,Indian Overseas Bank,Financial Services,,India,NSE,INR,INE565A01014
IOC,Indian Oil Corporation,Oil Gas & Consumable Fuels,,India,NSE,INR,INE242A01010
IPCALAB,Ipca Laboratories,Healthcare,,India,NSE,INR,INE571A01038
IRB,IRB Infrastructure Developers,Construction,,India,NSE,INR,INE821I01022
IRCON,IRCON International,Construction,,India,NSE,INR,INE962Y01021
IRCTC,Indian Railway Catering And Tourism Corporation,Consumer Services,,India,NSE,INR,INE335Y01020
IREDA,Indian Renewable Energy Development Agency,Financial Services,,India,NSE,INR,INE202E01016
IRFC,Indian Railway Finance Corporation,Financial Services,,India,NSE,INR,INE053F01010
ITC,ITC,Fast Moving Consumer Goods,,India,NSE,INR,INE154A01025
ITCHOTELS,ITC Hotels,Consumer Services,,India,NSE,INR,INE379A01028
ITI,ITI,Telecommunication,,India,NSE,INR,INE248A01017
J&KBANK,Jammu & Kashmir Bank,Financial Services,,India,NSE,INR,INE168A01041
JBCHEPHARM,J.B. Chemicals & Pharmaceuticals,Healthcare,,India,NSE,INR,INE572A01036
JBMA,JBM Auto,Automobile and Auto Components,,India,NSE,INR,INE927D01051
JINDALSAW,Jindal Saw,Capital Goods,,India,NSE,INR,INE324A01032
JINDALSTEL,Jindal Steel,Metals & Mining,,India,NSE,INR,INE749A01030
JIOFIN,Jio Financial Services,Financial Services,,India,NSE,INR,INE758E01017
JKCEMENT,J.K. Cement,Construction Materials,,India,NSE,INR,INE823G01014
JKTYRE,JK Tyre & Industries,Automobile and Auto Components,,India,NSE,INR,INE573A01042
JMFINANCIL,JM Financial,Financial Services,,India,NSE,INR,INE780C01023
JPPOWER,Jaiprakash Power Ventures,Power,,India,NSE,INR,INE351F01018
JSL,Jindal Stainless,Metals & Mining,,India,NSE,INR,INE220G01021
JSWENERGY,JSW Energy,Power,,India,NSE,INR,INE121E01018
JSWINFRA,JSW Infrastructure,Services,,India,NSE,INR,INE880J01026
JSWSTEEL,JSW Steel,Metals & Mining,,India,NSE,INR,INE019A01038
JUBLFOOD,Jubilant Foodworks,Consumer Services,,India,NSE,INR,INE797F01012
JUBLINGREA,Jubilant Ingrevia,Chemicals,,India,NSE,INR,INE0BY001018
JUBLPHARMA,Jubilant Pharmova,Healthcare,,India,NSE,INR,INE700A01033
JWL,Jupiter Wagons,Capital Goods,,India,NSE,INR,INE209L01016
JYOTHYLAB,Jyothy Labs,Fast Moving Consumer Goods,,India,NSE,INR,INE668F01031
JYOTICNC,Jyoti CNC Automation,Capital Goods,,India,NSE,INR,INE980O01024
KAJARIACER,Kajaria Ceramics,Consumer Durables,,India,NSE,INR,INE217B01036
KALYANKJIL,Kalyan Jewellers India,Consumer Durables,,India,NSE,INR,INE303R01014
KARURVYSYA,Karur Vysya Bank,Financial Services,,India,NSE,INR,INE036D01028
KAYNES,Kaynes Technology India,Capital Goods,,India,NSE,INR,INE918Z01012
KEC,Kec International,Construction,,India,NSE,INR,INE389H01022
KEI,KEI Industries,Capital Goods,,India,NSE,INR,INE878B01027
KFINTECH,Kfin Technologies,Financial Services,,India,NSE,INR,INE138Y01010
KIMS,Krishna Institute of Medical Sciences,Healthcare,,India,NSE,INR,INE967H01025
KIRLOSBROS,Kirloskar Brothers,Capital Goods,,India,NSE,INR,INE732A01036
KIRLOSENG,Kirloskar Oil Eng,Capital Goods,,India,NSE,INR,INE146L01010
KOTAKBANK,Kotak Mahindra Bank,Financial Services,,India,NSE,INR,INE237A01028
KPIL,Kalpataru Projects International,Construction,,India,NSE,INR,INE220B01022
KPITTECH,KPIT Technologies,Information Technology,,India,NSE,INR,INE04I401011
KPRMILL,K.P.R. Mill,Textiles,,India,NSE,INR,INE930H01031
KSB,KSB,Capital Goods,,India,NSE,INR,INE999A01023
LALPATHLAB,Dr. Lal Path Labs,Healthcare,,India,NSE,INR,INE600L01024
LATENTVIEW,Latent View Analytics,Information Technology,,India,NSE,INR,INE0I7C01011
LAURUSLABS,Laurus Labs,Healthcare,,India,NSE,INR,INE947Q01028
LEMONTREE,Lemon Tree Hotels,Consumer Services,,India,NSE,INR,INE970X01018
LICHSGFIN,LIC Housing Finance,Financial Services,,India,NSE,INR,INE115A01026
LICI,Life Insurance Corporation of India,Financial Services,,India,NSE,INR,INE0J1Y01017
LINDEINDIA,Linde India,Chemicals,,India,NSE,INR,INE473A01011
LLOYDSME,Lloyds Metals And Energy,Metals & Mining,,India,NSE,INR,INE281B01032
LODHA,Lodha Developers,Realty,,India,NSE,INR,INE670K01029
LT,Larsen & Toubro,Construction,,India,NSE,INR,INE018A01030
LTF,L&T Finance,Financial Services,,India,NSE,INR,INE498L01015
LTFOODS,LT Foods,Fast Moving Consumer Goods,,India,NSE,INR,INE818H01020
LTIM,LTIMindtree,Information Technology,,India,NSE,INR,INE214T01019
LTTS,L&T Technology Services,Information Technology,,India,NSE,INR,INE010V01017
LUPIN,Lupin,Healthcare,,India,NSE,INR,INE326A01037
M&M,Mahindra & Mahindra,Automobile and Auto Components,,India,NSE,INR,INE101A01026
M&MFIN,Mahindra & Mahindra Financial Services,Financial Services,,India,NSE,INR,INE774D08MG3
MAHABANK,Bank of Maharashtra,Financial Services,,India,NSE,INR,INE457A01014
MAHSCOOTER,Maharashtra Scooters,Financial Services,,India,NSE,INR,INE288A01013
MAHSEAMLES,Maharashtra Seamless,Capital Goods,,India,NSE,INR,INE271B01025
MANAPPURAM,Manappuram Finance,Financial Services,,India,NSE,INR,INE522D01027
MANKIND,Mankind Pharma,Healthcare,,India,NSE,INR,INE634S01028
MANYAVAR,Vedant Fashions,Consumer Services,,India,NSE,INR,INE825V01034
MAPMYINDIA,C.E. Info Systems,Information Technology,,India,NSE,INR,INE0BV301023
MARICO,Marico,Fast Moving Consumer Goods,,India,NSE,INR,INE196A01026
MARUTI,Maruti Suzuki India,Automobile and Auto Components,,India,NSE,INR,INE585B01010
MAXHEALTH,Max Healthcare Institute,Healthcare,,India,NSE,INR,INE027H01010
MAZDOCK,Mazagoan Dock Shipbuilders,Capital Goods,,India,NSE,INR,INE249Z01020
MCX,Multi Commodity Exchange of India,Financial Services,,India,NSE,INR,INE745G01035
MEDANTA,Global Health,Healthcare,,India,NSE,INR,INE474Q01031
METROPOLIS,Metropolis Healthcare,Healthcare,,India,NSE,INR,INE112L01020
MFSL,Max Financial Services,Financial Services,,India,NSE,INR,INE180A01020
MGL,Mahanagar Gas,Oil Gas & Consumable Fuels,,India,NSE,INR,INE002S01010
MINDACORP,Minda Corporation,Automobile and Auto Components,,India,NSE,INR,INE842C01021
MMTC,MMTC,Services,,India,NSE,INR,INE123F01029
MOTHERSON,Samvardhana Motherson International,Automobile and Auto Components,,India,NSE,INR,INE775A01035
MOTILALOFS,Motilal Oswal Financial Services,Financial Services,,India,NSE,INR,INE338I01027
MPHASIS,MphasiS,Information Technology,,India,NSE,INR,INE356A01018
MRF,MRF,Automobile and Auto Components,,India,NSE,INR,INE883A01011
MRPL,Mangalore Refinery & Petrochemicals,Oil Gas & Consumable Fuels,,India,NSE,INR,INE103A01014
MSUMI,Motherson Sumi Wiring India,Automobile and Auto Components,,India,NSE,INR,INE0FS801015
MUTHOOTFIN,Muthoot Finance,Financial Services,,India,NSE,INR,INE414G01012
NAM-INDIA,Nippon Life India Asset Management,Financial Services,,India,NSE,INR,INE298J01013
NATCOPHARM,NATCO Pharma,Healthcare,,India,NSE,INR,INE987B01026
NATIONALUM,National Aluminium Co.,Metals & Mining,,India,NSE,INR,INE139A01034
NAUKRI,Info Edge (India),Consumer Services,,India,NSE,INR,INE663F01032
NAVA,Nava,Power,,India,NSE,INR,INE725A01030
NAVINFLUOR,Navin Fluorine International,Chemicals,,India,NSE,INR,INE048G01026
NBCC,NBCC (India),Construction,,India,NSE,INR,INE095N01031
