symbol,company_name,sector,market_cap,headquarters,exchange,currency,isin
360ONE,360 ONE WAM,Financial Services,,India,NSE,INR,INE466L01038
3MINDIA,3M India,Diversified,,India,NSE,INR,INE470A01017
AADHARHFC,Aadhar Housing Finance,Financial Services,,India,NSE,INR,INE883F01010
AARTIIND,Aarti Industries,Chemicals,,India,NSE,INR,INE769A01020
AAVAS,Aavas Financiers,Financial Services,,India,NSE,INR,INE216P01012
ABB,ABB India,Capital Goods,,India,NSE,INR,INE117A01022
ABBOTINDIA,Abbott India,Healthcare,,India,NSE,INR,INE358A01014
ABCAPITAL,Aditya Birla Capital,Financial Services,,India,NSE,INR,INE674K01013
ABFRL,Aditya Birla Fashion and Retail,Consumer Services,,India,NSE,INR,INE647O01011
ABLBL,Aditya Birla Lifestyle Brands,Consumer Services,,India,NSE,INR,INE14LE01019
ABREL,Aditya Birla Real Estate,Forest Materials,,India,NSE,INR,INE055A01016
ABSLAMC,Aditya Birla Sun Life AMC,Financial Services,,India,NSE,INR,INE404A01024
ACC,ACC,Construction Materials,,India,NSE,INR,INE012A01025
ACE,Action Construction Equipment,Capital Goods,,India,NSE,INR,INE731H01025
ACMESOLAR,ACME Solar Holdings,Power,,India,NSE,INR,INE622W01025
ADANIENSOL,Adani Energy Solutions,Power,,India,NSE,INR,INE931S01010
ADANIENT,Adani Enterprises,Metals & Mining,,India,NSE,INR,INE423A01024
ADANIGREEN,Adani Green Energy,Power,,India,NSE,INR,INE364U01010
ADANIPORTS,Adani Ports and Special Economic Zone,Services,,India,NSE,INR,INE742F01042
ADANIPOWER,Adani Power,Power,,India,NSE,INR,INE814H01011
AEGISLOG,Aegis Logistics,Oil Gas & Consumable Fuels,,India,NSE,INR,INE208C01025
AEGISVOPAK,Aegis Vopak Terminals,Oil Gas & Consumable Fuels,,India,NSE,INR,INE0INX01018
AFCONS,Afcons Infrastructure,Construction,,India,NSE,INR,INE101I01011
AFFLE,Affle 3i,Information Technology,,India,NSE,INR,INE00WC01027
AGARWALEYE,Dr. Agarwal's Health Care,Healthcare,,India,NSE,INR,INE943P01029
AIAENG,AIA Engineering,Capital Goods,,India,NSE,INR,INE212H01026
AIIL,Authum Investment & Infrastructure,Financial Services,,India,NSE,INR,INE206F01022
AJANTPHARM,Ajanta Pharmaceuticals,Healthcare,,India,NSE,INR,INE031B01049
AKUMS,Akums Drugs and Pharmaceuticals,Healthcare,,India,NSE,INR,INE09XN01023
AKZOINDIA,Akzo Nobel India,Consumer Durables,,India,NSE,INR,INE133A01011
ALKEM,Alkem Laboratories,Healthcare,,India,NSE,INR,INE540L01014
ALKYLAMINE,Alkyl Amines Chemicals,Chemicals,,India,NSE,INR,INE150B01039
ALOKINDS,Alok Industries,Textiles,,India,NSE,INR,INE270A01029
AMBER,Amber Enterprises India,Consumer Durables,,India,NSE,INR,INE371P01015
AMBUJACEM,Ambuja Cements,Construction Materials,,India,NSE,INR,INE079A01024
ANANDRATHI,Anand Rathi Wealth,Financial Services,,India,NSE,INR,INE463V01026
ANANTRAJ,Anant Raj,Realty,,India,NSE,INR,INE242C01024
ANGELONE,Angel One,Financial Services,,India,NSE,INR,INE732I01013
APARINDS,Apar Industries,Capital Goods,,India,NSE,INR,INE372A01015
APLAPOLLO,APL Apollo Tubes,Capital Goods,,India,NSE,INR,INE702C01027
APLLTD,Alembic Pharmaceuticals,Healthcare,,India,NSE,INR,INE901L01018
APOLLOHOSP,Apollo Hospitals Enterprise,Healthcare,,India,NSE,INR,INE437A01024
APOLLOTYRE,Apollo Tyres,Automobile and Auto Components,,India,NSE,INR,INE438A01022
APTUS,Aptus Value Housing Finance India,Financial Services,,India,NSE,INR,INE852O01025
ARE&M,Amara Raja Energy & Mobility,Automobile and Auto Components,,India,NSE,INR,INE885A01032
ASAHIINDIA,Asahi India Glass,Automobile and Auto Components,,India,NSE,INR,INE439A01020
ASHOKLEY,Ashok Leyland,Capital Goods,,India,NSE,INR,INE208A01029
ASIANPAINT,Asian Paints,Consumer Durables,,India,NSE,INR,INE021A01026
ASTERDM,Aster DM Healthcare,Healthcare,,India,NSE,INR,INE914M01019
ASTRAL,Astral,Capital Goods,,India,NSE,INR,INE006I01046
ASTRAZEN,AstraZenca Pharma India,Healthcare,,India,NSE,INR,INE203A01020
ATGL,Adani Total Gas,Oil Gas & Consumable Fuels,,India,NSE,INR,INE399L01023
ATHERENERG,Ather Energy,Automobile and Auto Components,,India,NSE,INR,INE0LEZ01016
ATUL,Atul,Chemicals,,India,NSE,INR,INE100A01010
AUBANK,AU Small Finance Bank,Financial Services,,India,NSE,INR,INE949L01017
AUROPHARMA,Aurobindo Pharma,Healthcare,,India,NSE,INR,INE406A01037
AWL,AWL Agri Business,Fast Moving Consumer Goods,,India,NSE,INR,INE699H01024
AXISBANK,Axis Bank,Financial Services,,India,NSE,INR,INE238A01034
BAJAJ-AUTO,Bajaj Auto,Automobile and Auto Components,,India,NSE,INR,INE917I01010
BAJAJFINSV,Bajaj Finserv,Financial Services,,India,NSE,INR,INE918I01026
BAJAJHFL,Bajaj Housing Finance,Financial Services,,India,NSE,INR,INE377Y01014
BAJAJHLDNG,Bajaj Holdings & Investment,Financial Services,,India,NSE,INR,INE118A01012
BAJFINANCE,Bajaj Finance,Financial Services,,India,NSE,INR,INE296A01024
BALKRISIND,Balkrishna Industries,Automobile and Auto Components,,India,NSE,INR,INE787D01026
BALRAMCHIN,Balrampur Chini Mills,Fast Moving Consumer Goods,,India,NSE,INR,INE119A01028
BANDHANBNK,Bandhan Bank,Financial Services,,India,NSE,INR,INE545U01014
BANKBARODA,Bank of Baroda,Financial Services,,India,NSE,INR,INE028A01039
BANKINDIA,Bank of India,Financial Services,,India,NSE,INR,INE084A01016
BASF,BASF India,Chemicals,,India,NSE,INR,INE373A01013
BATAINDIA,Bata India,Consumer Durables,,India,NSE,INR,INE176A01028
BAYERCROP,Bayer Cropscience,Chemicals,,India,NSE,INR,INE462A01022
BBTC,Bombay Burmah Trading Corporation,Fast Moving Consumer Goods,,India,NSE,INR,INE050A01025
BDL,Bharat Dynamics,Capital Goods,,India,NSE,INR,INE171Z01026
BEL,Bharat Electronics,Capital Goods,,India,NSE,INR,INE263A01024
BEML,BEML,Capital Goods,,India,NSE,INR,INE258A01016
BERGEPAINT,Berger Paints India,Consumer Durables,,India,NSE,INR,INE463A01038
BHARATFORG,Bharat Forge,Automobile and Auto Components,,India,NSE,INR,INE465A01025
BHARTIARTL,Bharti Airtel,Telecommunication,,India,NSE,INR,INE397D01024
BHARTIHEXA,Bharti Hexacom,Telecommunication,,India,NSE,INR,INE343G01021
BHEL,Bharat Heavy Electricals,Capital Goods,,India,NSE,INR,INE257A01026
BIKAJI,Bikaji Foods International,Fast Moving Consumer Goods,,India,NSE,INR,INE00E101023
BIOCON,Biocon,Healthcare,,India,NSE,INR,INE376G01013
BLS,BLS International Services,Consumer Services,,India,NSE,INR,INE153T01027
BLUEDART,Blue Dart Express,Services,,India,NSE,INR,INE233B01017
BLUEJET,Blue Jet Healthcare,Healthcare,,India,NSE,INR,INE0KBH01020
BLUESTARCO,Blue Star,Consumer Durables,,India,NSE,INR,INE472A01039
BOSCHLTD,Bosch,Automobile and Auto Components,,India,NSE,INR,INE231A01025
BPCL,Bharat Petroleum Corporation,Oil Gas & Consumable Fuels,,India,NSE,INR,INE029A01011
BRIGADE,Brigade Enterprises,Realty,,India,NSE,INR,INE791I01019
BRITANNIA,Britannia Industries,Fast Moving Consumer Goods,,India,NSE,INR,INE216A01027
BSE,BSE,Financial Services,,India,NSE,INR,INE118H01025
BSOFT,Birlasoft,Information Technology,,India,NSE,INR,INE836A01035
