symbol,company_name,sector,market_cap,headquarters,exchange
CMCSA,Comcast,Communication Services,,"Philadelphia, Pennsylvania",NYSE
CME,CME Group,Financial,,"Chicago, Illinois",NYSE
CMG,Chipotle Mexican Grill,Consumer Discretionary,,"Newport Beach, California",NYSE
CMI,Cummins,Industrial,,"Columbus, Indiana",NYSE
CMS,CMS Energy,Utilities,,"Jackson, Michigan",NYSE
CNC,Centene,Healthcare,,"St. Louis, Missouri",NYSE
CNP,CenterPoint Energy,Utilities,,"Houston, Texas",NYSE
COF,Capital One,Financial,,"Tysons Corner, Virginia",NYSE
COIN,Coinbase,Financial,,"New York City, New York",NYSE
COO,Cooper Companies (The),Healthcare,,"San Ramon, California",NYSE
COP,ConocoPhillips,Energy,,"Houston, Texas",NYSE
COR,Cencora,Healthcare,,"Conshohocken, Pennsylvania",NYSE
COST,Costco,Consumer Staples,,"Issaquah, Washington",NYSE
CPAY,Corpay,Financial,,"Atlanta, Georgia",NYSE
CPB,Campbell's Company (The),Consumer Staples,,"Camden, New Jersey",NYSE
CPRT,Copart,Industrial,,"Dallas, Texas",NYSE
CPT,Camden Property Trust,Real Estate,,"Houston, Texas",NYSE
CRL,Charles River Laboratories,Healthcare,,"Wilmington, Massachusetts",NYSE
CRM,Salesforce,Technology,,"San Francisco, California",NYSE
CRWD,CrowdStrike,Technology,,"Austin, Texas",NYSE
CSCO,Cisco,Technology,,"San Jose, California",NYSE
CSGP,CoStar Group,Real Estate,,"Washington, D.C.",NYSE
CSX,CSX,Industrial,,"Jacksonville, Florida",NYSE
CTAS,Cintas,Industrial,,"Mason, Ohio",NYSE
CTRA,Coterra,Energy,,"Houston, Texas",NYSE
CTSH,Cognizant,Technology,,"Teaneck, New Jersey",NYSE
CTVA,Corteva,Materials,,"Indianapolis, Indiana",NYSE
CVS,CVS Health,Healthcare,,"Woonsocket, Rhode Island",NYSE
CVX,Chevron,Energy,,"Houston, Texas",NYSE
D,Dominion Energy,Utilities,,"Richmond, Virginia",NYSE
DAL,Delta Air Lines,Industrial,,"Atlanta, Georgia",NYSE
DASH,DoorDash,Consumer Discretionary,,"San Francisco, California",NYSE
DAY,Dayforce,Industrial,,"Minneapolis, Minnesota",NYSE
DD,DuPont,Materials,,"Wilmington, Delaware",NYSE
DDOG,Datadog,Technology,,"New York City, New York",NYSE
DE,Deere &,Industrial,,"Moline, Illinois",NYSE
DECK,Deckers Brands,Consumer Discretionary,,"Goleta, California",NYSE
DELL,Dell Technologies,Technology,,"Round Rock, Texas",NYSE
DG,Dollar General,Consumer Staples,,"Goodlettsville, Tennessee",NYSE
DGX,Quest Diagnostics,Healthcare,,"Secaucus, New Jersey",NYSE
DHI,D. R. Horton,Consumer Discretionary,,"Arlington, Texas",NYSE
DHR,Danaher,Healthcare,,"Washington, D.C.",NYSE
DIS,Walt Disney Company (The),Communication Services,,"Burbank, California",NYSE
DLR,Digital Realty,Real Estate,,"Austin, Texas",NYSE
DLTR,Dollar Tree,Consumer Staples,,"Chesapeake, Virginia",NYSE
DOC,Healthpeak Properties,Real Estate,,"Denver, Colorado",NYSE
DOV,Dover,Industrial,,"Downers Grove, Illinois",NYSE
DOW,Dow,Materials,,"Midland, Michigan",NYSE
DPZ,Domino's,Consumer Discretionary,,"Ann Arbor, Michigan",NYSE
DRI,Darden Restaurants,Consumer Discretionary,,"Orlando, Florida",NYSE
DTE,DTE Energy,Utilities,,"Detroit, Michigan",NYSE
DUK,Duke Energy,Utilities,,"Charlotte, North Carolina",NYSE
DVA,DaVita,Healthcare,,"Denver, Colorado",NYSE
DVN,Devon Energy,Energy,,"Oklahoma City, Oklahoma",NYSE
DXCM,Dexcom,Healthcare,,"San Diego, California",NYSE
EA,Electronic Arts,Communication Services,,"Redwood City, California",NYSE
EBAY,eBay,Consumer Discretionary,,"San Jose, California",NYSE
ECL,Ecolab,Materials,,"Saint Paul, Minnesota",NYSE
ED,Consolidated Edison,Utilities,,"New York City, New York",NYSE
EFX,Equifax,Industrial,,"Atlanta, Georgia",NYSE
EG,Everest Group,Financial,,"Hamilton, Bermuda",NYSE
EIX,Edison International,Utilities,,"Rosemead, California",NYSE
EL,Estée Lauder Companies (The),Consumer Staples,,"New York City, New York",NYSE
ELV,Elevance Health,Healthcare,,"Indianapolis, Indiana",NYSE
EME,Emcor,Industrial,,"Norwalk, Connecticut",NYSE
EMN,Eastman Chemical,Materials,,"Kingsport, Tennessee",NYSE
EMR,Emerson Electric,Industrial,,"Ferguson, Missouri",NYSE
EOG,EOG Resources,Energy,,"Houston, Texas",NYSE
EPAM,EPAM Systems,Technology,,"Newtown, Pennsylvania",NYSE
