symbol,company_name,sector,market_cap,headquarters,exchange
SHW,Sherwin-Williams,Materials,,"Cleveland, Ohio",NYSE
SJM,J.M. Smucker Company (The),Consumer Staples,,"Orrville, Ohio",NYSE
SLB,Schlumberger,Energy,,"Houston, Texas",NYSE
SMCI,Supermicro,Technology,,"San Jose, California",NYSE
SNA,Snap-on,Industrial,,"Kenosha, Wisconsin",NYSE
SNPS,Synopsys,Technology,,"Sunnyvale, California",NYSE
SO,Southern,Utilities,,"Atlanta, Georgia",NYSE
SOLV,Solventum,Healthcare,,"Saint Paul, Minnesota",NYSE
SPG,Simon Property Group,Real Estate,,"Indianapolis, Indiana",NYSE
SPGI,S&P Global,Financial,,"New York City, New York",NYSE
SRE,Sempra,Utilities,,"San Diego, California",NYSE
STE,Steris,Healthcare,,"Dublin, Ireland",NYSE
STLD,Steel Dynamics,Materials,,"Fort Wayne, Indiana",NYSE
STT,State Street,Financial,,"Boston, Massachusetts",NYSE
STX,Seagate Technology,Technology,,"Dublin, Ireland",NYSE
STZ,Constellation Brands,Consumer Staples,,"Rochester, New York",NYSE
SW,Smurfit Westrock,Materials,,"Dublin, Ireland",NYSE
SWK,Stanley Black & Decker,Industrial,,"New Britain, Connecticut",NYSE
SWKS,Skyworks Solutions,Technology,,"Irvine, California",NYSE
SYF,Synchrony Financial,Financial,,"Stamford, Connecticut",NYSE
SYK,Stryker,Healthcare,,"Kalamazoo, Michigan",NYSE
SYY,Sysco,Consumer Staples,,"Houston, Texas",NYSE
T,AT&T,Communication Services,,"Dallas, Texas",NYSE
TAP,Molson Coors Beverage,Consumer Staples,,"Chicago, Illinois",NYSE
TDG,TransDigm Group,Industrial,,"Cleveland, Ohio",NYSE
TDY,Teledyne Technologies,Technology,,"Thousand Oaks, California",NYSE
TECH,Bio-Techne,Healthcare,,"Minneapolis, Minnesota",NYSE
TEL,TE Connectivity,Technology,,"Galway, Ireland",NYSE
TER,Teradyne,Technology,,"North Reading, Massachusetts",NYSE
TFC,Truist Financial,Financial,,"Charlotte, North Carolina",NYSE
TGT,Target,Consumer Staples,,"Minneapolis, Minnesota",NYSE
TJX,TJX Companies,Consumer Discretionary,,"Framingham, Massachusetts",NYSE
TKO,TKO Group Holdings,Communication Services,,"New York City, New York",NYSE
TMO,Thermo Fisher Scientific,Healthcare,,"Waltham, Massachusetts",NYSE
TMUS,T-Mobile US,Communication Services,,"Bellevue, Washington",NYSE
TPL,Texas Pacific Land,Energy,,"Dallas, Texas",NYSE
TPR,"Tapestry,",Consumer Discretionary,,"New York City, New York",NYSE
TRGP,Targa Resources,Energy,,"Houston, Texas",NYSE
TRMB,Trimble,Technology,,"Westminster, Colorado",NYSE
TROW,T. Rowe Price,Financial,,"Baltimore, Maryland",NYSE
TRV,Travelers Companies (The),Financial,,"New York City, New York",NYSE
TSCO,Tractor Supply,Consumer Discretionary,,"Brentwood, Tennessee",NYSE
TSLA,"Tesla,",Consumer Discretionary,,"Austin, Texas",NASDAQ
TSN,Tyson Foods,Consumer Staples,,"Springdale, Arkansas",NYSE
TT,Trane Technologies,Industrial,,"Dublin, Ireland",NYSE
TTD,Trade Desk (The),Communication Services,,"Ventura, California",NYSE
TTWO,Take-Two Interactive,Communication Services,,"New York City, New York",NYSE
TXN,Texas Instruments,Technology,,"Dallas, Texas",NYSE
TXT,Textron,Industrial,,"Providence, Rhode Island",NYSE
TYL,Tyler Technologies,Technology,,"Plano, Texas",NYSE
UAL,United Airlines Holdings,Industrial,,"Chicago, Illinois",NYSE
UBER,Uber,Industrial,,"San Francisco, California",NYSE
UDR,"UDR,",Real Estate,,"Highlands Ranch, Colorado",NYSE
UHS,Universal Health Services,Healthcare,,"King of Prussia, Pennsylvania",NYSE
ULTA,Ulta Beauty,Consumer Discretionary,,"Bolingbrook, Illinois",NYSE
UNH,UnitedHealth Group,Healthcare,,"Eden Prairie, Minnesota",NYSE
UNP,Union Pacific,Industrial,,"Omaha, Nebraska",NYSE
UPS,United Parcel Service,Industrial,,"Sandy Springs, Georgia",NYSE
URI,United Rentals,Industrial,,"Stamford, Connecticut",NYSE
USB,U.S. Bancorp,Financial,,"Minneapolis, Minnesota",NYSE
V,Visa,Financial,,"San Francisco, California",NYSE
VICI,Vici Properties,Real Estate,,"New York City, New York",NYSE
VLO,Valero Energy,Energy,,"San Antonio, Texas",NYSE
VLTO,Veralto,Industrial,,"Waltham, Massachusetts",NYSE
VMC,Vulcan Materials,Materials,,"Birmingham, Alabama",NYSE
VRSK,Verisk Analytics,Industrial,,"Jersey City, New Jersey",NYSE
VRSN,Verisign,Technology,,"Reston, Virginia",NYSE
VRTX,Vertex Pharmaceuticals,Healthcare,,"Boston, Massachusetts",NYSE
VST,Vistra,Utilities,,"Irving, Texas",NYSE
VTR,Ventas,Real Estate,,"Chicago, Illinois",NYSE
VTRS,Viatris,Healthcare,,"Pittsburgh, Pennsylvania",NYSE
VZ,Verizon,Communication Services,,"New York City, New York",NYSE
WAB,Wabtec,Industrial,,"Pittsburgh, Pennsylvania",NYSE
WAT,Waters,Healthcare,,"Milford, Massachusetts",NYSE
WBD,Warner Bros. Discovery,Communication Services,,"New York City, New York",NYSE
WDAY,"Workday,",Technology,,"Pleasanton, California",NYSE
WDC,Western Digital,Technology,,"San Jose, California",NYSE
WEC,WEC Energy Group,Utilities,,"Milwaukee, Wisconsin",NYSE
WELL,Welltower,Real Estate,,"Toledo, Ohio",NYSE
WFC,Wells Fargo,Financial,,"San Francisco, California",NYSE
WM,Waste Management,Industrial,,"Houston, Texas",NYSE
WMB,Williams Companies,Energy,,"Tulsa, Oklahoma",NYSE
WMT,Walmart,Consumer Staples,,"Bentonville, Arkansas",NYSE
WRB,W. R. Berkley,Financial,,"Greenwich, Connecticut",NYSE
WSM,"Williams-Sonoma,",Consumer Discretionary,,"San Francisco, California",NYSE
WST,West Pharmaceutical Services,Healthcare,,"Exton, Pennsylvania",NYSE
WTW,Willis Towers Watson,Financial,,"London, United Kingdom",NYSE
WY,Weyerhaeuser,Real Estate,,"Seattle, Washington",NYSE
WYNN,Wynn Resorts,Consumer Discretionary,,"Paradise, Nevada",NYSE
XEL,Xcel Energy,Utilities,,"Minneapolis, Minnesota",NYSE
XOM,ExxonMobil,Energy,,"Irving, Texas",NYSE
XYL,Xylem,Industrial,,"White Plains, New York",NYSE
XYZ,"Block,",Financial,,none,NYSE
YUM,Yum! Brands,Consumer Discretionary,,"Louisville, Kentucky",NYSE
ZBH,Zimmer Biomet,Healthcare,,"Warsaw, Indiana",NYSE
ZBRA,Zebra Technologies,Technology,,"Lincolnshire, Illinois",NYSE
ZTS,Zoetis,Healthcare,,"Parsippany, New Jersey",NYSE
