date,open,high,low,close,volume,adjusted_close,currency
2020-01-02,110.49836997439424,110.9414743175492,109.18753048370549,110.33220672607422,460700,110.33220672607422,USD
2020-01-03,109.87989329471658,112.73236166141037,109.87989329471658,112.00308990478516,599700,112.00308990478516,USD
2020-01-06,111.2276558280345,111.67999347691654,110.11990539297612,110.95072174072266,604200,110.95072174072266,USD
2020-01-07,110.76608153687822,110.76608153687822,108.9936781906134,109.13214874267578,515100,109.13214874267578,USD
2020-01-08,108.69828739624177,109.4367923783041,106.8151060305977,108.01517486572266,1039300,108.01517486572266,USD
2020-01-09,108.29210273899578,108.3567213930011,106.97202991325436,107.092041015625,789300,107.092041015625,USD
2020-01-10,107.63668166913192,107.63668166913192,106.90740998666436,106.9443359375,917400,106.9443359375,USD
2020-01-13,106.87049447368926,106.87049447368926,105.65196614872164,106.24276733398438,704500,106.24276733398438,USD
2020-01-14,106.15044332990396,107.285893404357,105.86427602068376,106.61200714111328,723300,106.61200714111328,USD
2020-01-15,106.84278659610273,107.97823664451234,106.131981442022,107.88592529296876,829400,107.88592529296876,USD
2020-01-16,107.78438827735074,108.67982324042812,107.33205065002176,108.49519348144533,510400,108.49519348144533,USD
2020-01-17,108.31056453901476,108.70750969437748,107.10126257663728,107.57205963134766,661600,107.57205963134766,USD
2020-01-21,107.45208741985016,108.7444678698042,107.34130953800036,108.36598205566406,662300,108.36598205566406,USD
2020-01-22,110.30452469834964,110.7476290843798,108.82752181642454,109.59371948242188,607300,109.59371948242188,USD
2020-01-23,109.28908749241968,110.75686419306824,108.75367173782308,110.4245376586914,420100,110.4245376586914,USD
2020-01-24,110.77532632998924,111.04303421376872,109.73219454249453,110.59992980957033,410900,110.59992980957033,USD
2020-01-27,110.08299569349909,112.26157797463942,109.8983729413644,110.5261001586914,671200,110.5261001586914,USD
2020-01-28,110.86764798119935,112.7877555060576,110.71995119469824,111.88308715820312,644000,111.88308715820312,USD
2020-01-29,111.652288258619,113.28622816960852,111.12610577131332,112.1600112915039,386700,112.1600112915039,USD
2020-01-30,111.8830579016823,113.82163141974816,111.8553652016364,113.71085357666016,410200,113.71085357666016,USD
2020-01-31,113.05544933738116,114.64323009127376,112.861593367602,113.74779510498048,540000,113.74779510498048,USD
2020-02-03,114.46784511429864,115.1601909516835,112.69544146089082,114.33860778808594,530300,114.33860778808594,USD
2020-02-04,113.55394024213258,115.24325857893442,112.75081660844256,113.05545043945312,831500,113.05545043945312,USD
2020-02-05,113.49855159530252,114.6340018021707,113.02776152385742,114.2555160522461,1134200,114.2555160522461,USD
2020-02-06,114.4216746972237,118.0957260131836,113.31392428310498,118.0957260131836,991500,118.0957260131836,USD
2020-02-07,115.39097253486476,117.46801004049232,112.621589194028,113.12007904052734,860700,113.12007904052734,USD
2020-02-10,112.6308087491658,114.29243432588866,111.99384840449083,114.1816635131836,526200,114.1816635131836,USD
2020-02-11,113.90473112082309,115.0678740436606,113.15699990616612,113.83087921142578,422100,113.83087921142578,USD
2020-02-12,113.48008324898927,114.32935900382256,112.41848503399515,114.0339584350586,356300,114.0339584350586,USD
2020-02-13,113.41547273406862,114.74477891035836,113.1016056455977,114.71707916259766,331500,114.71707916259766,USD
2020-02-14,114.83709101586132,116.12023799707616,114.12627871976338,115.9725341796875,371900,115.9725341796875,USD
2020-02-18,113.54470782550214,115.81560113686352,112.335412784505,114.04319763183594,823200,114.04319763183594,USD
2020-02-19,114.62474996797496,115.2247843038159,110.90454694582756,111.18148803710938,577800,111.18148803710938,USD
2020-02-20,110.83070405688456,113.38777160644533,110.66454079719142,113.38777160644533,647000,113.38777160644533,USD
2020-02-21,112.81543227497318,114.97555469598684,111.19995884431928,113.18468475341795,2379500,113.18468475341795,USD
2020-02-24,111.403047836817,114.717072801622,110.71993533094869,112.61234283447266,827700,112.61234283447266,USD
2020-02-25,113.16622067391816,113.1754539228755,110.91379388879729,112.7138900756836,703600,112.7138900756836,USD
2020-02-26,114.403204911559,115.54788117517064,112.92620214513994,114.29242706298828,861100,114.29242706298828,USD
2020-02-27,111.0984173470542,116.47102028227025,110.46146402288224,111.91077423095705,1424500,111.91077423095705,USD
2020-02-28,113.64214333156154,113.64214333156154,103.56860390807024,105.54998016357422,1920300,105.54998016357422,USD
2020-03-02,104.0870896790306,109.4201431274414,104.0870896790306,109.4201431274414,1232900,109.4201431274414,USD
2020-03-03,109.24423192408086,110.58675789440268,107.54062153069763,108.52204895019533,1188800,108.52204895019533,USD
2020-03-04,108.80909340531149,110.84602763283054,106.47588579853046,109.7997817993164,1312000,109.7997817993164,USD
2020-03-05,107.32767067931113,112.11445354382168,107.1332373378924,107.3554458618164,1588800,107.3554458618164,USD
2020-03-06,106.47587789492474,110.27197299840208,105.62407256709712,108.11467742919922,1401400,108.11467742919922,USD
2020-03-09,103.73528132468157,108.09616204651536,101.96685249925277,103.48529052734376,1378000,103.48529052734376,USD
2020-03-10,103.52231590800788,105.97589162671744,100.78172054980112,102.67977142333984,1400700,102.67977142333984,USD
2020-03-11,103.69824069100866,103.69824069100866,97.68929997171128,98.46703338623048,1358100,98.46703338623048,USD
2020-03-12,91.63404870802904,94.43945491498862,83.53262487953737,86.5417251586914,1855200,86.5417251586914,USD
2020-03-13,88.31942700819637,92.1988548010023,84.54184627419076,87.77316284179688,1711500,87.77316284179688,USD
2020-03-16,85.18069820309763,85.18069820309763,75.93118740871347,76.57003784179688,1597000,76.57003784179688,USD
2020-03-17,78.20885271333785,84.81035498610444,74.69977707580553,81.9771728515625,1903900,81.9771728515625,USD
2020-03-18,80.15319648310437,80.53280956158068,68.62602708118317,70.22779083251953,1853800,70.22779083251953,USD
2020-03-19,70.27406559502033,83.27337950090353,66.672404636166,76.76446533203125,1671100,76.76446533203125,USD
2020-03-20,77.07927796576547,77.87553293388578,72.76468676344459,73.78315734863281,1760600,73.78315734863281,USD
2020-03-23,74.25532890408651,74.4775444590969,67.709379120201,70.86662292480469,1481400,70.86662292480469,USD
2020-03-24,72.92209311337047,75.51454513684064,69.5426397878906,72.35730743408203,1911400,72.35730743408203,USD
2020-03-25,72.04250186515273,77.34778126987658,71.12588542529993,74.07017517089844,1226900,74.07017517089844,USD
2020-03-26,73.1998476583956,84.26408420800898,73.088746917577,84.08816528320312,1406700,84.08816528320312,USD
2020-03-27,80.66241578874786,87.85647777383873,80.56056874226643,84.15296936035156,1236800,84.15296936035156,USD
2020-03-30,85.31956914110121,88.33793021605075,82.2363969570522,86.13433837890625,786000,86.13433837890625,USD
2020-03-31,84.07889509329922,87.03244522906819,81.28274942915404,82.63452911376953,1017600,82.63452911376953,USD
2020-04-01,79.99579193891661,83.53264258008649,78.6254905671661,81.64385223388672,999700,81.64385223388672,USD
2020-04-02,79.38470708548154,85.99546955643874,79.38470708548154,85.52327728271484,1029600,85.52327728271484,USD
2020-04-03,86.50469350505323,86.50469350505323,82.68082381205654,82.97710418701172,1175000,82.97710418701172,USD
2020-04-06,87.1250245210548,90.02302405971639,83.53262429441044,87.8564682006836,972400,87.8564682006836,USD
2020-04-07,90.12486030673608,90.12486030673608,84.2548037442294,86.56949615478516,1381300,86.56949615478516,USD
2020-04-08,87.09728301672341,88.60646057128906,85.27330348637892,88.60646057128906,791200,88.60646057128906,USD
2020-04-09,88.80087670400106,89.48602378514732,85.86584090688999,86.49543762207031,1498300,86.49543762207031,USD
2020-04-13,85.95844463460571,87.51391877199143,84.64370057168819,86.39360809326172,2301000,86.39360809326172,USD
2020-04-14,87.50465077639208,93.11546400340028,87.50465077639208,93.0599136352539,1581900,93.0599136352539,USD
2020-04-15,91.00446219248025,93.7635720306585,90.3285687925652,90.81928253173828,1107800,90.81928253173828,USD
2020-04-16,90.77299095952203,92.12477066635756,90.4396746412468,90.68040466308594,1121500,90.68040466308594,USD
2020-04-17,90.93964657430564,94.66166927240045,90.93964657430564,94.43946075439452,1107600,94.43946075439452,USD
2020-04-20,94.26354799712028,96.6523126790398,92.93028973827836,95.32830810546876,1102500,95.32830810546876,USD
2020-04-21,93.80060434824452,94.9024003295862,92.70806911555354,92.94879913330078,1282600,92.94879913330078,USD
2020-04-22,93.25434826037328,94.94870515078222,92.05070513230656,92.77288818359376,827300,92.77288818359376,USD
2020-04-23,91.84700579716488,92.7265932833929,90.19894568395412,91.7081298828125,966700,91.7081298828125,USD
2020-04-24,92.47659369720988,93.30062367528907,89.22677046118655,89.36564636230469,726500,89.36564636230469,USD
2020-04-27,90.79150246759916,91.14334027215304,89.86562540531037,89.939697265625,643600,89.939697265625,USD
2020-04-28,91.43962070025056,91.64331478428812,89.34713656043039,91.19889068603516,821200,91.19889068603516,USD
2020-04-29,91.73589848372664,93.23581476216846,91.59701551545726,91.9581069946289,644300,91.9581069946289,USD
2020-04-30,91.9488607547654,92.013671875,89.28233701155017,92.013671875,546700,92.013671875,USD
2020-05-01,91.65258202843198,92.33773624226528,86.42137443689296,87.04171752929688,958600,87.04171752929688,USD
2020-05-04,85.20846073532559,87.91201992934974,85.20846073532559,87.44908142089844,1532700,87.44908142089844,USD
2020-05-05,87.59724274031616,92.34699024867462,86.8472844663339,91.60629272460938,635400,91.60629272460938,USD
2020-05-06,93.12471889314304,93.17100850905838,90.13413280085408,90.25450134277344,896000,90.25450134277344,USD
2020-05-07,91.30999707754016,93.42099561816438,91.03223113740272,92.08773040771484,678500,92.08773040771484,USD
2020-05-08,92.99510167599162,94.69871221329134,91.50443892391336,92.7543716430664,502400,92.7543716430664,USD
2020-05-11,92.55067250905633,93.51358552449912,91.671092104428,92.47660064697266,897200,92.47660064697266,USD
