symbol,company_name,sector,market_cap,headquarters,exchange,isin
AUROPHARMA,Aurobindo Pharma,Healthcare,,India,NSE,INE406A01037
AWL,AWL Agri Business,Fast Moving Consumer Goods,,India,NSE,INE699H01024
AXISBANK,Axis Bank,Financial Services,,India,NSE,INE238A01034
BAJAJ-AUTO,Bajaj Auto,Automobile and Auto Components,,India,NSE,INE917I01010
BAJAJFINSV,Bajaj Finserv,Financial Services,,India,NSE,INE918I01026
BAJAJHFL,Bajaj Housing Finance,Financial Services,,India,NSE,INE377Y01014
BAJAJHLDNG,Bajaj Holdings & Investment,Financial Services,,India,NSE,INE118A01012
BAJFINANCE,Bajaj Finance,Financial Services,,India,NSE,INE296A01024
BALKRISIND,Balkrishna Industries,Automobile and Auto Components,,India,NSE,INE787D01026
BALRAMCHIN,Balrampur Chini Mills,Fast Moving Consumer Goods,,India,NSE,INE119A01028
BANDHANBNK,Bandhan Bank,Financial Services,,India,NSE,INE545U01014
BANKBARODA,Bank of Baroda,Financial Services,,India,NSE,INE028A01039
BANKINDIA,Bank of India,Financial Services,,India,NSE,INE084A01016
BASF,BASF India,Chemicals,,India,NSE,INE373A01013
BATAINDIA,Bata India,Consumer Durables,,India,NSE,INE176A01028
BAYERCROP,Bayer Cropscience,Chemicals,,India,NSE,INE462A01022
BBTC,Bombay Burmah Trading Corporation,Fast Moving Consumer Goods,,India,NSE,INE050A01025
BDL,Bharat Dynamics,Capital Goods,,India,NSE,INE171Z01026
BEL,Bharat Electronics,Capital Goods,,India,NSE,INE263A01024
BEML,BEML,Capital Goods,,India,NSE,INE258A01016
BERGEPAINT,Berger Paints India,Consumer Durables,,India,NSE,INE463A01038
BHARATFORG,Bharat Forge,Automobile and Auto Components,,India,NSE,INE465A01025
BHARTIARTL,Bharti Airtel,Telecommunication,,India,NSE,INE397D01024
BHARTIHEXA,Bharti Hexacom,Telecommunication,,India,NSE,INE343G01021
BHEL,Bharat Heavy Electricals,Capital Goods,,India,NSE,INE257A01026
BIKAJI,Bikaji Foods International,Fast Moving Consumer Goods,,India,NSE,INE00E101023
BIOCON,Biocon,Healthcare,,India,NSE,INE376G01013
BLS,BLS International Services,Consumer Services,,India,NSE,INE153T01027
BLUEDART,Blue Dart Express,Services,,India,NSE,INE233B01017
BLUEJET,Blue Jet Healthcare,Healthcare,,India,NSE,INE0KBH01020
BLUESTARCO,Blue Star,Consumer Durables,,India,NSE,INE472A01039
BOSCHLTD,Bosch,Automobile and Auto Components,,India,NSE,INE231A01025
BPCL,Bharat Petroleum Corporation,Oil Gas & Consumable Fuels,,India,NSE,INE029A01011
BRIGADE,Brigade Enterprises,Realty,,India,NSE,INE791I01019
BRITANNIA,Britannia Industries,Fast Moving Consumer Goods,,India,NSE,INE216A01027
BSE,BSE,Financial Services,,India,NSE,INE118H01025
BSOFT,Birlasoft,Information Technology,,India,NSE,INE836A01035
CAMPUS,Campus Activewear,Consumer Durables,,India,NSE,INE278Y01022
CAMS,Computer Age Management Services,Financial Services,,India,NSE,INE596I01012
CANBK,Canara Bank,Financial Services,,India,NSE,INE476A01022
CANFINHOME,Can Fin Homes,Financial Services,,India,NSE,INE477A01020
CAPLIPOINT,Caplin Point Laboratories,Healthcare,,India,NSE,INE475E01026
CARBORUNIV,Carborundum Universal,Capital Goods,,India,NSE,INE120A01034
CASTROLIND,Castrol India,Oil Gas & Consumable Fuels,,India,NSE,INE172A01027
CCL,CCL Products (I),Fast Moving Consumer Goods,,India,NSE,INE421D01022
CDSL,Central Depository Services (India),Financial Services,,India,NSE,INE736A01011
CEATLTD,Ceat,Automobile and Auto Components,,India,NSE,INE482A01020
CENTRALBK,Central Bank of India,Financial Services,,India,NSE,INE483A01010
CENTURYPLY,Century Plyboards (India),Consumer Durables,,India,NSE,INE348B01021
CERA,Cera Sanitaryware,Consumer Durables,,India,NSE,INE739E01017
CESC,CESC,Power,,India,NSE,INE486A01021
CGCL,Capri Global Capital,Financial Services,,India,NSE,INE180C01042
CGPOWER,CG Power and Industrial Solutions,Capital Goods,,India,NSE,INE067A01029
CHALET,Chalet Hotels,Consumer Services,,India,NSE,INE427F01016
CHAMBLFERT,Chambal Fertilizers & Chemicals,Chemicals,,India,NSE,INE085A01013
CHENNPETRO,Chennai Petroleum Corporation,Oil Gas & Consumable Fuels,,India,NSE,INE178A01016
CHOICEIN,Choice International,Financial Services,,India,NSE,INE102B01014
CHOLAFIN,Cholamandalam Investment and Finance Company,Financial Services,,India,NSE,INE121A08PJ0
CHOLAHLDNG,Cholamandalam Financial Holdings,Financial Services,,India,NSE,INE149A01033
CIPLA,Cipla,Healthcare,,India,NSE,INE059A01026
CLEAN,Clean Science and Technology,Chemicals,,India,NSE,INE227W01023
COALINDIA,Coal India,Oil Gas & Consumable Fuels,,India,NSE,INE522F01014
COCHINSHIP,Cochin Shipyard,Capital Goods,,India,NSE,INE704P01025
COFORGE,Coforge,Information Technology,,India,NSE,INE591G01025
COHANCE,Cohance Lifesciences,Healthcare,,India,NSE,INE03QK01018
COLPAL,Colgate Palmolive (India),Fast Moving Consumer Goods,,India,NSE,INE102A01018
CONCOR,Container Corporation of India,Services,,India,NSE,INE111A01025
CONCORDBIO,Concord Biotech,Healthcare,,India,NSE,INE338H01029
COROMANDEL,Coromandel International,Chemicals,,India,NSE,INE169A01031
CRAFTSMAN,Craftsman Automation,Automobile and Auto Components,,India,NSE,INE00LO01017
CREDITACC,CreditAccess Grameen,Financial Services,,India,NSE,INE741K01010
CRISIL,CRISIL,Financial Services,,India,NSE,INE007A01025
CROMPTON,Crompton Greaves Consumer Electricals,Consumer Durables,,India,NSE,INE299U01018
CUB,City Union Bank,Financial Services,,India,NSE,INE491A01021
CUMMINSIND,Cummins India,Capital Goods,,India,NSE,INE298A01020
CYIENT,Cyient,Information Technology,,India,NSE,INE136B01020
DABUR,Dabur India,Fast Moving Consumer Goods,,India,NSE,INE016A01026
DALBHARAT,Dalmia Bharat,Construction Materials,,India,NSE,INE00R701025
DATAPATTNS,Data Patterns (India),Capital Goods,,India,NSE,INE0IX101010
DBREALTY,Valor Estate,Consumer Services,,India,NSE,INE879I01012
DCMSHRIRAM,DCM Shriram,Diversified,,India,NSE,INE499A01024
DEEPAKFERT,Deepak Fertilisers & Petrochemicals Corp.,Chemicals,,India,NSE,INE501A01019
DEEPAKNTR,Deepak Nitrite,Chemicals,,India,NSE,INE288B01029
DELHIVERY,Delhivery,Services,,India,NSE,INE148O01028
DEVYANI,Devyani International,Consumer Services,,India,NSE,INE872J01023
DIVISLAB,Divi's Laboratories,Healthcare,,India,NSE,INE361B01024
DIXON,Dixon Technologies (India),Consumer Durables,,India,NSE,INE935N01020
DLF,DLF,Realty,,India,NSE,INE271C01023
DMART,Avenue Supermarts,Consumer Services,,India,NSE,INE192R01011
DOMS,DOMS Industries,Fast Moving Consumer Goods,,India,NSE,INE321T01012
DRREDDY,Dr. Reddy's Laboratories,Healthcare,,India,NSE,INE089A01023
ECLERX,eClerx Services,Services,,India,NSE,INE738I01010
EICHERMOT,Eicher Motors,Automobile and Auto Components,,India,NSE,INE066A01013
EIDPARRY,E.I.D. Parry (India),Fast Moving Consumer Goods,,India,NSE,INE126A01031
EIHOTEL,EIH,Consumer Services,,India,NSE,INE230A01023
ELECON,Elecon Engineering Co.,Capital Goods,,India,NSE,INE205B01031
ELGIEQUIP,Elgi Equipments,Capital Goods,,India,NSE,INE285A01027
EMAMILTD,Emami,Fast Moving Consumer Goods,,India,NSE,INE548C01032
EMCURE,Emcure Pharmaceuticals,Healthcare,,India,NSE,INE168P01015
ENDURANCE,Endurance Technologies,Automobile and Auto Components,,India,NSE,INE913H01037
ENGINERSIN,Engineers India,Construction,,India,NSE,INE510A01028
ENRIN,Siemens Energy India,Capital Goods,,India,NSE,INE1NPP01017
ERIS,Eris Lifesciences,Healthcare,,India,NSE,INE406M01024
ESCORTS,Escorts Kubota,Capital Goods,,India,NSE,INE042A01014
ETERNAL,Eternal,Consumer Services,,India,NSE,INE758T01015
EXIDEIND,Exide Industries,Automobile and Auto Components,,India,NSE,INE302A01020
FACT,Fertilisers and Chemicals Travancore,Chemicals,,India,NSE,INE188A01015
FEDERALBNK,Federal Bank,Financial Services,,India,NSE,INE171A01029
FINCABLES,Finolex Cables,Capital Goods,,India,NSE,INE235A01022
FINPIPE,Finolex Industries,Capital Goods,,India,NSE,INE183A01024
FIRSTCRY,Brainbees Solutions,Consumer Services,,India,NSE,INE02RE01045
FIVESTAR,Five-Star Business Finance,Financial Services,,India,NSE,INE128S01021
FLUOROCHEM,Gujarat Fluorochemicals,Chemicals,,India,NSE,INE09N301011
FORCEMOT,Force Motors,Automobile and Auto Components,,India,NSE,INE451A01017
FORTIS,Fortis Healthcare,Healthcare,,India,NSE,INE061F01013
FSL,Firstsource Solutions,Services,,India,NSE,INE684F01012
GAIL,GAIL (India),Oil Gas & Consumable Fuels,,India,NSE,INE129A01019
GESHIP,Great Eastern Shipping Co.,Services,,India,NSE,INE017A01032
GICRE,General Insurance Corporation of India,Financial Services,,India,NSE,INE481Y01014
GILLETTE,Gillette India,Fast Moving Consumer Goods,,India,NSE,INE322A01010
GLAND,Gland Pharma,Healthcare,,India,NSE,INE068V01023
GLAXO,Glaxosmithkline Pharmaceuticals,Healthcare,,India,NSE,INE159A01016
GLENMARK,Glenmark Pharmaceuticals,Healthcare,,India,NSE,INE935A01035
GMDCLTD,Gujarat Mineral Development Corporation,Metals & Mining,,India,NSE,INE131A01031
GMRAIRPORT,GMR Airports,Services,,India,NSE,INE776C01039
GODFRYPHLP,Godfrey Phillips India,Fast Moving Consumer Goods,,India,NSE,INE260B01028
GODIGIT,Go Digit General Insurance,Financial Services,,India,NSE,INE03JT01014
GODREJAGRO,Godrej Agrovet,Fast Moving Consumer Goods,,India,NSE,INE850D01014
GODREJCP,Godrej Consumer Products,Fast Moving Consumer Goods,,India,NSE,INE102A01018
GODREJIND,Godrej Industries,Diversified,,India,NSE,INE233A01035
GODREJPROP,Godrej Properties,Realty,,India,NSE,INE484J01027
GPIL,Godawari Power & Ispat,Capital Goods,,India,NSE,INE177H01039
GRANULES,Granules India,Healthcare,,India,NSE,INE101D01020
GRAPHITE,Graphite India,Capital Goods,,India,NSE,INE371A01025
GRASIM,Grasim Industries,Construction Materials,,India,NSE,INE047A01013
GRAVITA,Gravita India,Metals & Mining,,India,NSE,INE024L01027
GRSE,Garden Reach Shipbuilders & Engineers,Capital Goods,,India,NSE,INE382Z01011
GSPL,Gujarat State Petronet,Oil Gas & Consumable Fuels,,India,NSE,INE246F01010
GUJGASLTD,Gujarat Gas,Oil Gas & Consumable Fuels,,India,NSE,INE844O01030
GVT&D,GE Vernova T&D India,Capital Goods,,India,NSE,INE200A01026
HAL,Hindustan Aeronautics,Capital Goods,,India,NSE,INE066F01020
HAPPSTMNDS,Happiest Minds Technologies,Information Technology,,India,NSE,INE419U01012
HAVELLS,Havells India,Consumer Durables,,India,NSE,INE176B01034
HBLENGINE,HBL Engineering,Capital Goods,,India,NSE,INE292B01021
HCLTECH,HCL Technologies,Information Technology,,India,NSE,INE860A01027
HDFCAMC,HDFC Asset Management Company,Financial Services,,India,NSE,INE127D01025
HDFCBANK,HDFC Bank,Financial Services,,India,NSE,INE040A01034
HDFCLIFE,HDFC Life Insurance Company,Financial Services,,India,NSE,INE795G01014
HEG,H.E.G.,Capital Goods,,India,NSE,INE545A01024
HEROMOTOCO,Hero MotoCorp,Automobile and Auto Components,,India,NSE,INE158A01026
