symbol,company_name,sector,market_cap,headquarters,exchange,isin
LALPATHLAB,Dr. Lal Path Labs,Healthcare,,India,NSE,INE600L01024
LATENTVIEW,Latent View Analytics,Information Technology,,India,NSE,INE0I7C01011
LAURUSLABS,Laurus Labs,Healthcare,,India,NSE,INE947Q01028
LEMONTREE,Lemon Tree Hotels,Consumer Services,,India,NSE,INE970X01018
LICHSGFIN,LIC Housing Finance,Financial Services,,India,NSE,INE115A01026
LICI,Life Insurance Corporation of India,Financial Services,,India,NSE,INE0J1Y01017
LINDEINDIA,Linde India,Chemicals,,India,NSE,INE473A01011
LLOYDSME,Lloyds Metals And Energy,Metals & Mining,,India,NSE,INE281B01032
LODHA,Lodha Developers,Realty,,India,NSE,INE670K01029
LT,Larsen & Toubro,Construction,,India,NSE,INE018A01030
LTF,L&T Finance,Financial Services,,India,NSE,INE498L01015
LTFOODS,LT Foods,Fast Moving Consumer Goods,,India,NSE,INE818H01020
LTIM,LTIMindtree,Information Technology,,India,NSE,INE214T01019
LTTS,L&T Technology Services,Information Technology,,India,NSE,INE010V01017
LUPIN,Lupin,Healthcare,,India,NSE,INE326A01037
M&M,Mahindra & Mahindra,Automobile and Auto Components,,India,NSE,INE101A01026
M&MFIN,Mahindra & Mahindra Financial Services,Financial Services,,India,NSE,INE774D08MG3
MAHABANK,Bank of Maharashtra,Financial Services,,India,NSE,INE457A01014
MAHSCOOTER,Maharashtra Scooters,Financial Services,,India,NSE,INE288A01013
MAHSEAMLES,Maharashtra Seamless,Capital Goods,,India,NSE,INE271B01025
MANAPPURAM,Manappuram Finance,Financial Services,,India,NSE,INE522D01027
MANKIND,Mankind Pharma,Healthcare,,India,NSE,INE634S01028
MANYAVAR,Vedant Fashions,Consumer Services,,India,NSE,INE825V01034
MAPMYINDIA,C.E. Info Systems,Information Technology,,India,NSE,INE0BV301023
MARICO,Marico,Fast Moving Consumer Goods,,India,NSE,INE196A01026
MARUTI,Maruti Suzuki India,Automobile and Auto Components,,India,NSE,INE585B01010
MAXHEALTH,Max Healthcare Institute,Healthcare,,India,NSE,INE027H01010
MAZDOCK,Mazagoan Dock Shipbuilders,Capital Goods,,India,NSE,INE249Z01020
MCX,Multi Commodity Exchange of India,Financial Services,,India,NSE,INE745G01035
MEDANTA,Global Health,Healthcare,,India,NSE,INE474Q01031
METROPOLIS,Metropolis Healthcare,Healthcare,,India,NSE,INE112L01020
MFSL,Max Financial Services,Financial Services,,India,NSE,INE180A01020
