date,open,high,low,close,volume,currency
2025-10-17,131.38,132.16,128.02,128.68,13063892,INR
2025-10-23,130.8,131.25,128.9,129.34,8311038,INR
2025-11-06,138.0,139.69,136.0,138.37,13939518,INR
